,Title,Abstract,Accept
26,Participation towards heritage conservation: Case of a fishing community in Langkawi Geopark,"There is an increasing movement towards acceptance of public participation as a logical approach to heritage conservation and sustainable use of natural resources. In conservation initiatives, to ensure effective participation is to see it as a social process. Thus, the importance of community participation and consultation in planning for heritage conservation is emphasised using an example from fishing community involvement in community-based fisheries management in Langkawi. The setting up of cooperative community resource management Komuniti Pengurusan Ekosistem Perikanan (KPEP) is a significant attempt that acknowledges the value of local involvement in natural resource management. It aims to understand local fishers' participation in resource management activities towards heritage conservation. One of the findings revealed that although the resource management activities did not mentioned explicitly the importance of heritage conservation. However it could be assumed that intention for heritage conservation is at the heart of the initiatives. Implicit in such an approach is a sense that local fishers' participation in managing resources would utilise local knowledge gained from past down traditions of previous generations. The application of local knowledge encourages them to become aware of their fishing cultural heritage and to encourage them to conserve it. It is crucial for development activities surrounding the area of KPEP Kuala Teriang are compatible and complementary to the existing activities of fisheries heritage conservation and promotion of social well-being. © 2011 by MIP.",NA
27,Evolving governance structures in community-based sandfish mariculture and their interactions with livelihood outcomes: Evidence from the Philippines,"Sea cucumber mariculture is an important emerging field of practice and applied research in the coastal tropics. This is due to the existing importance of tropical sea cucumber fisheries for wealth generation and poverty reduction, and the potential for mariculture to contribute to the longer term sustainability of these fisheries while generating benefits additional to those from wild caught sea cucumber. Understanding the optimal institutional arrangements for sea cucumber mariculture is an important area of focus in this field, with a variety of arrangements currently in place. This paper documents the establishment of a communal form of sea ranching in the Philippines, as a case study of community level institutional processes. It describes the background to establishment of the sea ranch in the community of Victory, challenges encountered and how these were managed, and the evolution of governance arrangements. In charting this process, we assess the impacts on livelihood outcomes, highlighting this as a crucial aspect influencing this evolution and the nature of community involvement in the sea ranch. While the sea ranching project generated a range of benefits for livelihoods, including possible spillover effects for the surrounding fishery, substantial economic returns from harvests did not occur. Thus, the system of governing the sea ranch evolved from a communal model to a more exclusive household model primarily to improve operational efficiency. In order for possible benefits of the sea ranch to be sustained and enhanced, greater integration with fisheries management and government support will be needed. Copyright © 2022 Fabinyi, Gorospe, McClean and Juinio-Meñez.",NA
28,Placing Madagascar's marine turtle populations in a regional context using community-based monitoring,"Madagascar is an important foraging ground for marine turtles in the Western Indian Ocean, yet the status of the country's nesting aggregations remains poorly documented. We assess the current status and trend in nesting throughout Madagascar, including data recorded by a community-based monitoring project in the Barren Isles (western Madagascar). We contextualize the findings in comparison with data from Madagascar's closest neighbouring states. Reports indicate that nesting levels have declined at many coastal sites, with no known recordings since 2000 at > 40 nesting sites. We estimate there are a minimum of 1,200 nests per year in Madagascar, with the largest recorded nesting aggregation (< 1,000 nests per year) found on islands off the west and northern coasts. The majority of nesting aggregations, including those recorded by the community-based monitoring project in the Barren Isles, are relatively small, in the order of < 50 nests per year, yet they are potentially important sources of regional genetic diversity. Nesting on many of the islands (e.g. Tromelin, Europa) around Madagascar has increased over the last 20 years, despite the fact that thousands of turtles probably originating from these sites are taken by fishers in the waters of Madagascar annually. We discuss the importance of protecting small nesting populations, and how community-based monitoring could be an important tool for conserving remote and vulnerable populations and building capacity for natural resource management. Copyright © 2016 Fauna & Flora International.",NA
29,25th anniversary invited paper trends in development of coastal area management in tropical countries: From central to community orientation,"The development phases of coastal management in tropical countries are described. Precolonial, centralized, community based, and collaborative coastal management are identified as forms of management which have evolved to what today is called integrated coastal management. Centralized management began during colonial times when any attempt at management was orchestrated from the top of government. Community based coastal management, in response to the failures of more centralized approaches, began in the Philippines through several projects, the experience of which spread to other countries in Southeast Asia and to Ecuador in the 1980s. The concept of collaborative management is now accepted as a description of variations in joint management arrangements between government and community or with the private sector stakeholders. It is suggested that collaborative management and integrated coastal management are more or less synonymous. The trends identified within tropical coastal management include interdisciplinary research and management integration, valuing traditional knowledge and management systems, increasing reliance on local participation, and using participation oriented research approaches. It is seen that the capacity for improved coastal management is increasing dramatically with a strong emphasis on training through academe and field learning trials. The authors are positive about current developments in coastal management, while cautioning practitioners that global economics will increasingly impact the use and conservation of coastal resources. A theme is that local government and community accountability in coastal management will help make efforts effective and more sustainable. © 1997 Taylor & Francis.",NA
30,Assessment of the changing levels of livelihood assets in the Kampong Phluk community with implications for community-based ecotourism,"In recent years, international attention has been rendered to development of ecotourism for poverty reduction and biodiversity conservation. We assessed local livelihood assets in Kampong Phluk Community before and after the introduction of the community-based ecotourism (CBET) governance system, where it was previously under the private company management system (SEAPAC). We used a sustainable livelihood framework to assess natural, physical, human, social, and financial assets by analyzing a set of panel data of 150 observations according to the scoring scale of zero (total dissatisfaction) to one (total satisfaction). We found that full implementation of CBET raised the overall average score of livelihood assets by 0.15. In particular, physical capital and human capital achieved remarkable growth by 0.25 to 0.23, respectively, while growth in natural capital and financial capital was statistically insignificant. Although CBET showed promising results, improving communication and providing community health care would motivate active participation in ecotourism development. © 2020 Elsevier Ltd",NA
31,"Loco or no loco? Holocene climatic fluctuations, human demography, and community based management of coastal resources in Northern Chile","The abundance of the southern Pacific mollusk loco (Concholepas concholepas), among other conspicuous marine supplies, are often cited as critical resources behind the long-term cultural and demographic fluctuations of prehistoric hunter-gatherers in the coastal Atacama Desert. These societies inhabited one of the world’s most productive marine environments flanked by one the world’s driest deserts. Both of these environments have witnessed significant ecological variation since people first colonized themat the end of the Pleistocene (c. 13,000 cal yr BP). Here, we examine the relationship between the relative abundance of shellfish (a staple resource) along a 9,500-year sequence of archeological shell midden accumulations at Caleta (a small inlet or cove) Vitor, with past demographic trends (established via summed probability distributions of radiocarbon ages) and technological innovations together with paleoceanographic data on past primary productivity. We find that shellfish extraction varied considerably from one cultural period to the next in terms of the number of species and their abundance, with diversity increasing during periods of regionally decreased productivity. Such shifts in consumption patterns are considered community based management decisions, and for the most part they were synchronous with large and unusual regional demographic fluctuations experienced by prehistoric coastal societies in northern Chile. When taken together with their technological innovations, our data illustrates how these human groups tailored their socio-cultural patterns to what were often abrupt and prolonged environmental changes throughout the Holocene. © 2017 Wagner, Ding and Jaffé.",NA
32,Multi-scale policy diffusion and translation in Pacific Island coastal fisheries,"Multilateral consensus forged among heads of states must be value-additive and relevant at the national level to facilitate on-ground implementation. Yet, despite general optimism and advances in policy understanding, multi-scale diffusion remains a challenge with little certainty in outcomes. This study focuses on examining intermediary dynamics occurring within national policy apparatus that can influence domestic uptake of policy innovation. We analyse the anticipated spread of two supranational policies on coastal fisheries in the Pacific region – the 'small-Scale Fisheries Guidelines’ and ‘the New Song’ – in three countries: Kiribati, Solomon Islands and Vanuatu. Our approach combines instrumental perspectives on ‘policy coherence’ with cognitive–normative perspectives on ‘policy image’. Accordingly, we use two methods: a document-based comparison of the policies produced at different levels and interviews with national government officers in charge of policy deliberation and delivery. We find supranational-to-national policy coherence across most prescribed policy themes, except for emergent social themes such as ‘gender’ and ‘human rights–based approaches’. The views of government managers substantiate, and further augment, this finding. Crucially, managers' images (encompassing judgements, aspirations and convictions) represent personal and practical attributes involved in policy interpretation and implementation. Multi-scale policy diffusion is thus a translational process mediated by national-level staff, and managers' policy images offer nuanced and dynamic insights into why some policies are slow to take root while others take different shape to their agreed meanings. Analysts and policymakers must consider and mobilise translational approaches and policy images in order to understand and facilitate successful domestic implementation of international agreements. © 2018 Elsevier Ltd",NA
33,A revolution in management?,"Since 1998, the State of California has taken dramatic steps to reform its management of activities affecting marine wildlife. The passage of the Marine Life Management Act in 1998 and the Marine Life Protection Act in 1999, as well as the initiation of a community-based process to establish marine reserves at the Channel Islands mirror policy changes at the national level. This paper focuses on the general historical background for these changes and on the passage and early implementation of the Marine Life Management Act (MLMA). After briefly discussing the Marine Life Protection Act (MLPA) and the Channel Islands marine reserves process, the paper evaluates progress in implementing reform, and identifies challenges for the future.",NA
34,"Assessment of ecological vulnerability to climate variability on coastal fishing communities: A study of Ungwana Bay and Lower Tana Estuary, Kenya","Fisheries resources are important in supporting the livelihood of many coastal communities especially in the developing tropical countries. Fisheries resources however, continue to face unprecedented pressure from the impacts of climate change, and this presents both ecological and socio-economic challenges to the dependent communities. This paper assessed the ecological vulnerability to climate variability of artisanal fishing communities in Ungwana Bay and the Lower Tana Delta in Kenya, using selected fin fish species. A combination of approaches were adopted and used to identify and determine exposure, sensitivity, and adaptation indicators. These included a critical review of existing literature, socio-economic survey, and computation of temperature and rainfall variation using long term data from 1983 to 2015. The method of Equal Weights (EW) was applied to all indicators after normalization. The data was normalized in a scale of 0–1, where 0 indicated low vulnerability level and 1 high vulnerability. By using composite index, the selected Ngomeni and Ozi fishing communities within the larger Ungwana Bay and Lower Tana Delta indicated high levels of vulnerability of 0.9 and 0.8 respectively. Due to high vulnerability level and poor adaptation capacity by the local fishing communities in the selected study sites, we recommend government and non-governmental agencies to reinforce community based organizations (CBOs) activities on ecological conservation and social network creation to promote short and long term adaptation measures. © 2018 Elsevier Ltd",NA
35,The Ghosts of Fisheries Management,"The scientific analysis and management of fisheries has been dominated by three institutional orthodoxies: state regulation, market exchange and community-based management. This paper argues that these static, substantive, metaphors obscure a consideration of the dynamic temporal interplay between stakeholders and their environment. To address this vacuity the paper outlines a process-sociological approach and applies it to the historical development of fisheries management in the Tam Giang Lagoon, in Central Vietnam. The analysis shows that the interplay between different groups of fishers, the Vietnamese state, and the lagoon environment, over time, structures future struggles. As such, this interplay needs to be understood as a causal force of its own in the development of fisheries management. Endorsement of the analysis raises important questions concerning the potential of policy and planning to control fisheries. © 2012 Copyright Taylor and Francis Group, LLC.",NA
36,Adaptive capacity of marine comanagement: a comparative analysis of the influence of colonial legacies and integrated traditional governance on outcomes in the Pacific,"Integrating traditional institutions into marine resource comanagement has become common across the Pacific. However, these arrangements can link village-based and centralized governance systems in many ways, resulting in new hybridized institutional organizations, operational scales, and governance process. Examining the context-specific social, cultural, and historical processes that shape these programs can reveal how systems for comanagement develop, and how institutional differences influence adaptive capacity. Using analytical tools drawn from critical institutionalism and broad institutional perspectives, we assess how different institutional histories and processes of hybridization informed the adaptive capacity of two comanagement programs in Samoa: the Community-Based Fisheries Management Programme (CBFMP) and the Marine Protected Area (MPA) program. While the programs were embedded in similar cultural and ecological contexts, the MPA program became inactive following the 2009 Pacific tsunami, while the CBFMP endured. In spite of early efforts to involve communities in the MPA program’s development, the institutional history and organization of the program’s managing agency informed an interpretation of comanagement principles that did not adequately incorporate traditional Samoan institutions for coastal management, reducing its adaptive capacity. In contrast, the CBFMP gained resilience through its fundamental integration with village-based social and political institutions, social norms, and values. This analysis of institutional histories, structures, and program outcomes demonstrates that colonial legacies pose obstacles for successful hybridized governance in the Pacific, while also confirming the valuable contributions integrated traditional institutions can make to improving adaptive capacity. © 2021, The Author(s), under exclusive licence to Springer-Verlag GmbH, DE part of Springer Nature.",NA
37,"Neoliberalization, decentralization and community-based natural resources management in Malawi: The first sixteen years and looking ahead","This article reviews the paradoxical gap between theory/policy and reality from 16 years of community-based natural resources management (CBNRM) in Malawi's fisheries, forestry and wildlife sectors, focusing on influences of imported neoliberal blueprints. The article argues that CBNRM has created shifting institutional hybridities melding neoliberal principles and modern institutions with neo-patrimonial institutions, producing more challenges than opportunities. Recent gains and bias toward revenue generation have not been matched by practical measures for ecological sustainability. Synthesis of trends, challenges, lessons and opportunities through an institutional choice lens contributes to understanding of relative costs and benefits of CBNRM in delivering ecological and socio-economic goals. © 2012 SAGE Publications.",NA
38,Lessons for modern management from the South Pacific,"A traditional Pacific islands coastal resource management system is a community-based, participatory system for the integrated management of both land and sea. It is an expression of social relationships between people, expressed as rights to exploit resources. It is an area in which traditional or customary fishing rights are exercised as part of a land-sea area which a particular group, related through kinship, collectively owns. There may be another group associated with that ""primary' group which has rights of use in the area. These rights are bound by unwritten management rules. Traditional South Pacific islander fisheries management systems have long included many progressive elements of ""western' fisheries management, including limited entry; seasonal, spatial, gear, size, and species restrictions; prior appropriation rights; and the concept of sole ownership, among others. However, they may lack some of the features necessary for management for sustainable development. -from Author",NA
39,Fisheries Management: Progress Towards Sustainability,"The world's stocks of wild fish continue to decline, making the task of finding innovative, sustainable and socially acceptable methods of fisheries management more important than ever. Several new approaches from around the world have proved to be successful in stemming the decline whilst increasing fish catches, and under the editorship of McClanahan and Castilla this international team of authors have looked to these examples to provide the reader with carefully chosen case studies offering practical suggestions and solutions for problem fisheries elsewhere. Coverage includes: Community based fisheries. Collaborative and co-operative fisheries management. Coastal fisheries management. The future for sustainable fisheries management. Written by many of the world's most experienced practitioners Fisheries Management: Progress toward sustainability is an important purchase for all fisheries scientists, managers and conservationists. All libraries in universities and research establishments where this area is studied and taught will find this book a valuable addition to their shelves. © 2007 by Blackwell Publishing Ltd.",NA
40,"The nature-culture boundary and ocean policy: Great Barrier Island, New Zealand","This article analyzes New Zealand's rights-based system of fisheries management from the perspective of local stakeholders on northern Great Barrier Island. The research identified differing perspectives through use of the concept of ""boundary construction,"" not only in terms of society and nature but also among societal institutions. Great Barrier Island participants exhibited significant differences, especially between staff of the local Department of Conservation and local Maori, both of whom were engaged in negotiating policy implementation at the local level. These differences expressed themselves in conceptions of both societal boundaries - the scale at which community was envisioned - and conceptions of the boundary between nature and culture. The findings confirm the need for the continued development of models of community-based resource management as well as for the conceptual integration of society and nature in the realm of policy construction. Copyright © 2007 by the American Geographical Society of New York.",NA
41,Classification of coastal communities reporting commercial fish landings in the U.S. Northeast region: Developing and testing a methodology,"The National Marine Fisheries Service is required by law to conduct social impact assessments of communities impacted by fishery management plans. To facilitate this process, we developed a technique for grouping communities based on common sociocultural attributes. Multivariate data reduction techniques (e.g. principal component analyses, cluster analyses) were used to classify Northeast U.S. fishing communities based on census and fisheries data. The comparisons indicate that the clusters represent real groupings that can be verified with the profiles. We then selected communities representative of different values on these multivariate dimensions for in-depth analysis. The derived clusters are then compared based on more detailed data from fishing community profiles. Ground-truthing (e.g. visiting the communities and collecting primary information) a sample of communities from three clusters (two overlapping geographically) indicates that the more remote techniques are sufficient for typing the communities for further in-depth analyses. The in-depth analyses provide additional important information which we contend is representative of all communities within the cluster.",NA
42,Fijian villagers adapt to changes in local fisheries,"This paper analyzes some of the problems encountered by a village-run fishing cooperative in rural Fiji. Concern about the limited success of this fishing cooperative led the villagers of Kaba Point. Fiji to ask for biological and socioeconomic studies to determine the roots of the cooperative's problems. The villagers also required an assessment of their proposal to revitalize the cooperative through a development scheme that would enable them to increase their catch. The surveys, undertaken by researchers from the University of the South Pacific and the Fiji Fisheries Division, indicate that the area has been overfished, primarily through the widespread local and commercial use of gillnets and the reliance on fishing as a sole source of village income, and further expansion of the current resource exploitation patterns would be very damaging. In addition, although the cooperative provides an important sense of communalism in the village, only a few people regularly provide fish to the coop. The semi-subsistence lifestyle of rural Fiji is one factor limiting villagers participation in full-time fishing activities. The traditional social and management structures inherent in this village (especially, marine tenure, chiefly responsibility for the community, and a demonstrated history of communal projects) can form a strong basis for a modern community-based marine management program. However, if not carefully watched, resources can also be locally mismanaged because of the increasing demands of the modern market-driven economy.This paper analyzes some of the problems encountered by a village-run fishing cooperative in rural Fiji. Concern about the limited success of this fishing cooperative led the villagers of Kaba Point, Fiji to ask for biological and socioeconomic studies to determine the roots of the cooperative's problems. The villagers also required an assessment of their proposal to revitalize the cooperative through a development scheme that would enable them to increase their catch. The surveys, undertaken by researchers from the University of the South Pacific and the Fiji Fisheries Division, indicate that the area has been overfished, primarily through the widespread local and commercial use of gillnets and the reliance on fishing as a sole source of village income, and further expansion of the current resource exploitation patterns would be very damaging. In addition, although the cooperative provides an important sense of communalism in the village, only a few people regularly provide fish to the coop. The semi-subsistence lifestyle of rural Fiji is one factor limiting villagers participation in full-time fishing activities. The traditional social and management structures inherent in this village (especially, marine tenure, chiefly responsibility for the community, and a demonstrated history of communal projects) can form a strong basis for a modern community-based marine management program. However, if not carefully watched, resources can also be locally mismanaged because of the increasing demands of the modern market-driven economy.",NA
43,"Community‐based Fisheries Management, Tradition and the Challenges of Development in Marovo, Solomon Islands","This study examines traditional fisheries‐related resource management through a case in which local communities, from a basis of customary, ‘common property’ control over the sea and its resources, handle a multitude of development issues. Presenting first some important issues relating to people's role in fisheries management and to the ‘common property’ debate, the article then describes a traditional system for management of land and sea resources in a Pacific Islands society; that of Marovo Lagoon, Solomon Islands. Emphasis is given to fisheries resources, with a view to explaining in practical terms how a system of customary marine tenure operates under the wider social, political, economic and ecological circumstances of change arising from development pressures. Against this background, assessments are made of the viability of this traditional fisheries management system under present conditions of state control and of both external and internal pressures for large‐scale resource development enterprises. © 1994 Institute of Social Studies",NA
44,"Management of traditional common fishing grounds: The experience of the para community, indonesia","The experience of the Para fishing community in managing its traditional fishing commons is explored. The concepts, methods, challenges to survive, and transformations in the direction of traditional community-based management in coastal fisheries are documented. Some lessons can be extracted from the Para experience that may be useful as an additional perspective in governing new management regimes for sustainable use of fishing commons. Evidence at Para shows that the fishers themselves founded the basis of management, erected an effective organization, constructed the equity share principle, invented and enforced regulations, and meted out the punishments. The delegation of authority in the local community to establish their sea tenure system is considered as a pivotal element in the management of communal property resources. © 1996 Taylor & Francis.",NA
45,Evaluation of the Impact of a Pharmacist-Led Telehealth Clinic on Diabetes-Related Goals of Therapy in a Veteran Population,"Objectives Telemedicine has been offered as a way to ensure that all patients, including those who live in rural areas, have access to the same health care. This study was performed to evaluate the benefit of a real-time, clinic-based video telehealth (Clinical Video Telehealth [CVT]) program and the impact of a pharmacist-led CVT clinic for chronic disease state management. The primary objective was to evaluate changes from baseline values, in veterans referred by primary care providers to this clinic. Methods This was a single-center, prospective, pre-post pilot study that also included a post-patient satisfaction survey. The study was conducted at the Tennessee Valley Healthcare System, which is composed of two medical centers and 12 community-based outpatient clinics (CBOCs) located away from the two main facilities. Fifteen clinical pharmacy specialists (CPSs) - seven at the two main facilities and eight at the CBOCs - provide disease state management clinical pharmacy services. One of the seven CPSs at the main facilities works via telemedicine and provides services to the CBOCs where on-site clinical pharmacy services did not exist. The primary outcomes were changes from baseline in A1C, LDL level, systolic blood pressure, and diastolic blood pressure after 6 months of CVT services by the CPS. Secondary outcomes were the percentages of patients meeting American Diabetes Association treatment goals for hemoglobin A1c (A1C), low-density lipoprotein level, and blood pressure, both individually and in combination after attending a pharmacist-led CVT program; the level of patient satisfaction with pharmacists' care and with CVT as a method of receiving chronic disease management, specifically for diabetes; and medication additions or changes made by the pharmacist. Results Twenty-six patients completed the 6-month evaluation. A significant decrease in A1C of 2% from baseline was observed (p=0.0002), and the percentage of patients meeting goal A1C significantly increased from 0% at baseline to 38% at 6 months (p=0.0007). Overall patient satisfaction scores were also high, with a median score 39.5 (interquartile range 36-40) of a maximum score of 40. Conclusion Six months of CVT clinic attendance significantly improved A1C values and the overall percentage of patients meeting their goal A1C values in this veteran population. In addition, patient satisfaction scores also indicated a high level of satisfaction with the pharmacist-led CVT service. © Published 2016. This article is a U.S. Government work and is in the public domain in the USA.",NA
46,Modeling short-term fishing dynamics in a small-scale intertidal shellfishery,"We assessed the relative contribution of a set of predictors on the short-term dynamics of the yellow clam intertidal fishery in Uruguay based on a community-based data collection program for five consecutive fishing seasons. Results of generalized linear mixed models showed that the occurrence of fishable days depends on the absence of red tide events and prevailing wind conditions, but also was related to the timing of each fishing event throughout the fishing season. Furthermore, higher fishing yields were coincident with the prevalence of northerly offshore winds. Catch per unit of effort levels of each fishing event were mostly related to interannual characteristics of each fishing season and, to a lesser extent, with fisher attributes (gender and age) and the timing of each fishing event. The adverse effect of red tides and unfavorable environmental conditions impose a high degree of uncertainty in this social-ecological system, leading to economic inefficiency. A key challenge for successful management of the yellow clam fishery and other similar small-scale fisheries relies in considering not only the resource and the governance subsystems, but also the dynamics of the resource users, together with relevant external drivers affecting them. © 2018 Elsevier B.V.",NA
47,Long-Term Stability of the Faunal Community of a Subtropical Estuary: Evaluating Disturbances in the Context of Interannual Variability,"Estuarine and coastal marine ecosystems can have significant intra- and interannual variability in faunal community structure, complicating management response to disturbances as disturbance effects must be detectable within normal variability and on timescales relevant to management entities. We examined a long-term, multi-gear dataset on estuarine faunal (fish and select invertebrate) communities to determine if community structure changes due to disturbances could be detected on management-relevant timescales (e.g., years), given that these communities have known seasonal and interannual variability. Results from multivariate, community-based analyses, and several univariate diversity indices for fauna of Tampa Bay, Florida, USA suggested general community stability over the long term, with the exceptions of 2005–2006 (prolonged red tide event) and 2010 (extreme cold event in winter). Community structure was notably outside the typical variability for both time periods. In 2005, species richness decreased by half for one gear type and was the lowest on record for the other two gear types. In 2010, when the relative abundance of a top predator decreased by 50% from cold-related mortality, Simpson’s diversity index was the lowest on record for one gear type. The red tide and extreme-cold events differed in duration and the number of taxa directly impacted (multispecies vs. single-species, respectively) but both multivariate and univariate analyses indicated significant deviation in the faunal community structure during these years. Within 1–3 years after these major events, however, the community seemed to have returned to a structure like that of previous years, suggesting long-term stability and resilience. Our results confirm that multivariate and univariate analyses can detect major disturbances to estuarine faunal communities, which gives management entities options for which analysis approach is appropriate for their needs. Since the Tampa Bay faunal communities recovered within 3 years, we suggest that where long-term monitoring exists, active restoration might be deferred while monitoring for signs of recovery following the removal of a perturbation. This is a fundamental part of sound adaptive management processes to promote sustainable ecosystems. © 2020, Coastal and Estuarine Research Federation.",NA
48,Exclusive economic zones and the management of fisheries in the South China Sea,"The 1982 United Nations Convention on the Law of the Sea (LOSC), with the provisions for defining an Exclusive Economic Zone (EEZ), is the international agreement that has had the greatest influence on the structure of fisheries policies in national and international arenas. It had the profound effect of increasing the contribution of fisheries to the national gross domestic product or GDP. It brought about a redistribution of benefits from fishing from distant water fishing fleets to the coastal states. Investments flowed in to the fisheries sector. Countries that had fisheries resources but limited capacity to exploit them established joint ventures with states that owned fishing fleets (ADB, 1997). The end result was a substantial increase in the contribution of fisheries to the national GDP especially in developing countries and the overall shift in total capture fisheries production from the developed to the developing world (Delgado et al., 2003). The LOSC and the EEZ are strongly associated with ownership and the implication that fisheries will be better managed within some property rights regime. These concepts were modified by coastal states to apply to fisheries management policies at the scale of local governments and even communities. Shortly after the Third United Nations Conference on the Law of the Sea ended in 1982, community-based initiatives to define fishing rights and effectively manage fisheries proliferated. There was a stronger effort to move national policy toward devolution of fisheries management to local government units and encourage co-management and stakeholder participation in the management of coastal resources. There were several efforts to develop Integrated Coastal Zone Management (ICZM) Plans and establish Community Based Coastal Resource Management (CBCRM) strategies in the Philippines first, and later in Indonesia, Thailand, Malaysia and Vietnam. In this paper, we present case studies where there is a poor institutional fit between the EEZs of coastal states and the natural structure of fisheries resources. This has led to the formulation of inadequate fisheries policies, difficulties in monitoring and controlling the overexploitation of fish stocks, and a massive degradation of fish habi tats vital to the survival and sustainability of stocks. In the first two decades of the LOSC, states have focused on implementing Articles 55-56 and 61-62, which detailed their jurisdiction and right to exploit resources optimally. In this next decade of implementing the LOSC, states will need to consider the provisions for transboundary cooperation detailed in Articles 63 to 67 of Part V of the LOSC. We highlight the importance of knowledge of institutional interplay in fisheries management at the local, sub-national, national and regional scales, and how this relates to the structure of fish stocks and national jurisdiction. We also suggest some research priorities and institutional adjustments required to increase the chances of devising a successful fisheries policy, embody a broader regional perspective of the needs and aspirations of fisheries, as well as national goals. The case studies presented are derived from the experiences of coastal states that border the South China Sea. © 2005 Springer. All Rights Reserved.",NA
49,Social dimensions of local fisheries co-management in the Coral Triangle,"SUMMARY The challenge to manage coastal resources within Asia-Pacific's Coral Triangle has gained global attention. Co-management is promoted as a key strategy to address this challenge. Contemporary community-based co-management often leads to 'hybridization' between local (customary) practices, and science-based management and conservation. However, the form of this hybrid has rarely been critically analysed. This paper presents examples of co-management practices in eastern Indonesia and Solomon Islands, focusing in particular on area closures. In contrast to the temporary closures used before the influx of sustainability discourses, contemporary closures are periodically-harvested but predominantly closed, reflecting attempts to reduce fishing effort and enhance ecological sustainability. When areas are opened, harvests are relatively short and largely triggered by the social and economic needs of particular individuals or whole communities. In all cases, engagement with environmental management interventions has led to more formalized access and use arrangements. The harvesting and management practices observed are influenced by these relatively recent interventions designed to promote sustainability, but also by religious institutions, increasing resource demand, and modernization. This study unpacks some of the contemporary influences, particularly environmental sustainability initiatives, on local management practices, and provides insights for co-management in practice. Copyright © Foundation for Environmental Conservation 2015.",NA
50,Facing limits in oceanic fisheries: Part I: Extent of the problem and policy responses,"Research from the Food and Agriculture Organization of the United Nations (FAO) and fishery scientists indicates that the wild catch offish and other marine life from the oceans will not be able to increase significantly in the future, except through rehabilitation and better management of stocks. Despite the limited potential for bigger catches, fishing fleets have expanded rapidly in recent decades under government subsidies. Fishers now have approximately twice the capacity necessary to make the annual catch from the oceans. The juxtaposition of natural limits and overinvestment has created a crisis situation for the world's fishers, fishing communities and traditional fishing cultures. Part I of this article discusses policy responses at the national and international level. How policy makers respond to the overextension of the marine fishing industry will determine the extent of job loss, hunger and dislocation that will result. Part II, to be published in the Forum's next issue (February 1995), will examine the social aspects of the world's fishing industry, including the demography of fishers, utilization of fisheries products, the relative social contribution of aquaculture and policy responses to overcapacity. Policy makers could enhance the social benefits of marine fisheries — both jobs and food — through a combination of government oversight and community based management. 1994 United Nations",NA
51,Madagascar Fish Eagle productivity in the Tsimembo-Manambolomaty Protected Area and surrounding habitat of western Madagascar,"We monitored the productivity of the critically endangered Madagascar Fish Eagle Haliaeetus vociferoides inside and outside of the Tsimembo-Manambolomaty Protected Area (T-M PA), western Madagascar from 2010 to 2015. We recorded 14 breeding pairs inside and 13 outside T-M PA. The T-M PA and surrounding habitat hosted respectively 10 and six breeding polyandrous pairs, composed of one adult female and two adult males. During the six-year study period, 101 eggs were laid in nests in T-M PA of which 60 hatched and 58 young fledged. We recorded 62 eggs laid in nests outside the T-M PA of which 39 hatched and 36 young fledged. Productivity was similar at both sites, inside and outside T-M PA, with 0.84 (58/69) and 0.76 (36/47) fledgling per nesting attempt and 0.69 (58/84) and 0.5 (36/72) fledglings per territorial pair, respectively. Polyandrous pairs have higher productivity compared with normal pairs. Threats to Madagascar Fish Eagles and their habitat were low due to the existence of a community-based resource management system called the Local Management Secured System (GELOSE) inside and outside the T-M PA. This system is based on strengthening local traditional customs and rules, and involving local people in managing their natural resources sustainably along with biodiversity conservation. © 2018 NISC (Pty) Ltd.",NA
52,Hidden benefits and risks of partial protection for coral reef fisheries,"Partially protected areas are now the dominant global form of spatial management aimed at preserving ecosystem integrity and managing human use. However, most evaluations of their efficacy use only a narrow set of conservation indicators that reflect a fraction of ways in which protection can succeed or fail. In this paper, we examine three case studies of partially protected coral reef fishery systems to evaluate benefits and risks of their use as a management tool. We use data from community-based management arrangements in three Pacific Island countries to demonstrate three vignettes of how partial protection can boost fisheries production, enhance the ease with which fishers catch their prey, and alter the composition of fisheries yields. These changes in fisheries productivity, catchability, and vulnerability under partial protection carry substantial benefits for fishers. However, they also carry significant risks for ecosystems and fisheries livelihoods unless adaptively managed so as to confer the short to medium term benefits in resource performance without risking longer term sustainability. © 2022 by the author(s). Published here under license by the Resilience Alliance.",NA
53,A theory of scaling for community-based fisheries management,"Community-based approaches to fisheries management has emerged as a mainstream strategy to govern dispersed, diverse and dynamic small scale fisheries. However, amplifying local community led sustainability outcomes remains an enduring challenge. We seek to fill a theoretical gap in the conceptualization of ‘scaling up community-based fisheries management’. We draw on literature of agriculture innovations to provide a framework that takes into account process-driven and structural change occurring across multiple levels of governance, as well as different phases of scaling. We hypothesize that successful scaling requires engagement with all aspects of a governing regime, coalescing a range of actors, and therefore, is an enterprise that is larger than its parts. To demonstrate where the framework offers value, we illustrate the development of community-based fisheries management in Vanuatu according to the framework’s main scaling dimensions. © 2021, The Author(s).",NA
