,Title,Abstract,Accept,Accept - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Rationale - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Thoughts - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Accept - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,Rationale - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,Thoughts - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,"Accept - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Rationale - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Thoughts - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Accept - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.","Rationale - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.","Thoughts - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.",Bad Parsing - SC2
58,Community involvement in fisheries management: Experiences in the Gulf of Thailand countries,"This paper examines the involvement of coastal communities in fisheries management among the countries of the Gulf of Thailand-Malaysia, Vietnam, Cambodia and Thailand. Initiatives to decentralize management to local governing bodies, to utilize traditional management methods and to engage in community agreements to protect local resources are explored. An examination of recent experiences indicates some movement toward more local involvement in management. However, the study also leads to several suggestions for the future: in Vietnam and Cambodia, there is a need for significant legislation to control fisheries operations and greater clarity of the role of communities in management; in Malaysia, there is an overall need for more support to local fisheries management; and in Thailand, the need is for greater support of local-level enforcement and monitoring activities. © 2009 Elsevier Ltd. All rights reserved.",No,No,The paper does not meet the SC as it does not include a case study of CBFM in a Pacific Island country.," No; The paper discusses fisheries management in Gulf of Thailand countries and does not specify any case study in a Pacific Island country. 

ReflectionThe SC requires the study to include a case study of CBFM in a Pacific Island country. The abstract mentions the Gulf of Thailand countries which are not Pacific Island countries.",Yes,"The paper includes a focus on fisheries management through its examination of community involvement in the Gulf of Thailand countries, and it also includes broader marine resource management through its exploration of initiatives to decentralize management and engage in community agreements to protect local resources."," Maybe; The abstract focuses on community involvement in fisheries management in the Gulf of Thailand-Malaysia, Vietnam, Cambodia, and Thailand. It is not clear if the paper includes broader marine resource management.

ReflectionThe paper examines community involvement in fisheries management in the Gulf of Thailand countries. While the abstract does not explicitly mention broader marine resource management, it does suggest that the study explores initiatives to decentralize management to local governing bodies and engage in community agreements to protect local resources.",Yes,"The abstract suggests that there is community involvement in fisheries management, including decentralization of management and community agreements, which aligns with the definition of community-based management in the SC."," Maybe; The abstract mentions community involvement in fisheries management but does not explicitly state whether it is community-based management as defined in the SC.
ReflectionThe abstract mentions decentralization of management to local governing bodies and engagement in community agreements to protect local resources, which are both characteristics of community-based management.",No,The paper does not meet the Screening Criteria as it does not mention CBFM.," No; The paper does not mention CBFM at all.
ReflectionThe paper is about community involvement in fisheries management, not CBFM specifically. Therefore, it does not address the Screening Criteria.",
59,Community-based organic agriculture in the Philippines,"This paper explores institutional mechanisms that might be required to boost both organic agriculture and rural development in the Philippines. Special attention is paid to community-based organic agriculture as a pathway to rural development. The Philippines has two decades of experience of community-based natural resource management. Unlike public natural resources such as forests, watersheds or fisheries, however, the community-based organic agriculture programme is intended to deal with the private property regime. Thus, if the programme is to be successful, agrarian land reform must continue. Integrated rice- duck farming is among the suitable and viable options for organic agriculture, given that rice is a major agricultural crop and duck meat is popular in the Philippines. Area-based organic food certification systems need to be formulated and a government-farmers partnership should be forged to facilitate farmers' access to domestic and international organic food markets.",No,No,The abstract does not meet the SC as it does not include any case study of CBFM in a Pacific Island country.," No; The abstract does not mention a case study of CBFM in a Pacific Island country.
ReflectionThe abstract focuses on community-based organic agriculture in the Philippines, but it does not mention any case study of CBFM in a Pacific Island country.",No,The paper does not meet the screening criteria as it does not include any fisheries-related examples or focus on fisheries management.," No; The paper does not mention anything about fisheries or marine resource management. 

ReflectionThe paper only focuses on organic farming and rural development in the Philippines. It does not mention anything about fisheries or marine resource management.",Maybe,"Without further information, it is unclear whether the paper meets the screening criteria as it is not explicitly stated whether the focus is on community-based fisheries management or not."," Maybe; The abstract mentions ""community-based natural resource management"" but it is unclear whether the focus is on fisheries management or not. 

ReflectionThe abstract does not explicitly mention fisheries management, but it does mention community-based natural resource management. It is possible that the paper may touch upon community-based fisheries management, but it is not clear from the abstract alone.",No,The paper does not meet the screening criteria as it does not contain information on either the benefits of CBFM or barriers to CBFM.," No, as the paper does not explicitly mention either benefits of CBFM or barriers to CBFM.
ReflectionThe paper is focused on community-based organic agriculture and rural development in the Philippines, which is not directly related to CBFM.",
60,Empowerment and institutions: Managing fisheries in Uganda,"The perception of communities as homogeneous and concern over representation and accountability of structures are key critiques of community-based natural resource management (CBNRM). A focus on understanding institutions that mediate access to, and control over, natural resources is seen as a way forward to improving management regimes that include local people. Experience in the implementation of integrated lake management in Uganda is drawn on to understand how institutions can be challenged to improve access to fisheries for marginalized stakeholders. Processes such as empowerment and the formation of accountable and representative structures are part of the way forward. © 2006 Elsevier Ltd. All rights reserved.",No,No,The study does not include a case study of CBFM in a Pacific Island country.," No; There is no mention of a Pacific Island country in the title or abstract.
ReflectionThe title and abstract focus on fisheries management in Uganda, which is not a Pacific Island country. It is unlikely that the study meets the screening criteria.",Yes,The paper's title and abstract are in line with the SC mentioned above as they focus on fisheries management in Uganda and improving access to fisheries for marginalized stakeholders.," Yes; The paper's title and abstract clearly mention fisheries management and the focus is on improving access to fisheries for marginalized stakeholders.

ReflectionThe paper's title and abstract are in line with the SC mentioned above as they focus on fisheries management in Uganda.",Yes,"The abstract discusses the importance of empowering and forming accountable and representative structures within institutions to improve access to natural resources, which aligns with the principles of community-based management."," Maybe; The abstract mentions ""community-based natural resource management (CBNRM)"" but does not explicitly mention ""community-based management (CBM)"" or ""community-based fisheries management (CBFM)"".

ReflectionThe abstract discusses the importance of understanding institutions and improving access to fisheries for marginalized stakeholders. While it does not use the exact language of ""community-based management"", it appears to align with the principles of CBM/CBFM.",Maybe,"While the paper does not directly mention CBFM, it does discuss related topics such as CBNRM and improving access to natural resources for marginalized stakeholders, which could potentially include information on the benefits or barriers to CBFM."," No; The paper focuses on fisheries management in Uganda and does not mention CBFM.

ReflectionThe paper does not directly mention CBFM, but it does discuss community-based natural resource management (CBNRM) which is closely related to CBFM. The paper also discusses the challenges and strategies for improving access to natural resources for marginalized stakeholders, which could potentially include information on barriers to CBFM.",
61,"The fishery of sea-cucumber Holothuridae in Kilbat Village, Central Maluku Regency, Indonesia","Sea cumber is one of the valuable high economic resources. Worldwide, most sea cucumber fisheries are ineffectively managed, leading to declining stocks and potentially eroding the resilience of fisheries. The local fishermen of Kilbat Village have been exploiting sea cucumber for a long time with un-proper management pan. This study was aimed to investigate the utilization of sea cumber and assess its sustainability, and propose a sustainable management strategy. Field observation was used to analyze sea cucumber utilization, the Rapid appraisal to Fisheries (Rapfish) approach was used to assess its sustainability, whilst DPSIR was applied to perform a sustainable management strategy. The result shows that the local sea cucumber fishermen utilize sea cucumber as a source of income and self-consumption. The average sustainability was 61.17% of 100% sustainable scale and considered as fair sustain with institutional dimension being unsustain. There are 8 strategies proposed for sea cumber sustainable management with responses at D, P, S, and I level, A traditional indigenous knowledge (sasi) has been proposed for sea cucumber community-based fishery management. © Published under licence by IOP Publishing Ltd.",No,No,"The study is conducted in Indonesia, which is not a Pacific Island country, hence it does not meet the screening criteria."," No; The study is conducted in Indonesia, which is not a Pacific Island country.
ReflectionThe SC requires that the study must include at least one case study of CBFM in a Pacific Island country. The study is conducted in Indonesia, which is not a Pacific Island country.",Yes,"The study focuses on sea cucumber fisheries in Kilbat Village, indicating that it meets the screening criteria."," Yes; The paper's title and abstract focus on sea cucumber fisheries in Kilbat Village, Central Maluku Regency, Indonesia.

ReflectionThe paper's title and abstract explicitly mention sea cucumber fisheries in Kilbat Village, indicating that the study is related to fisheries. In addition, the abstract mentions the use of the Rapfish approach to assess the sustainability of sea cucumber fisheries, indicating a focus on fisheries management.",Maybe,"The abstract suggests that community-based management is one of the proposed strategies, but it is not clear if it is the main focus of the study."," Maybe; The abstract mentions the proposal of a traditional indigenous knowledge (sasi) for sea cucumber community-based fishery management, but it is not clear if this is the main focus of the study.
ReflectionThe abstract mentions that the study proposes a sustainable management strategy, and one of the strategies proposed is community-based. However, it is not clear if the study is focused solely on community-based management, as the abstract mentions other approaches as well.",No,The paper does not contain any information related to CBFM or barriers to CBFM.," No; The paper does not mention CBFM or any related terms.
ReflectionThe paper does not meet the Screening Criteria as it does not mention anything related to CBFM.",
62,A role for partially protected areas on coral reefs: Maintaining fish diversity?,"Completely banning fishing from coral reefs is now accepted to have significant benefits for marine biodiversity and in many cases, fisheries. However, the benefits of regulating fishing on coral reefs, by restricting the methods used, or the total amount of fishing, are less well understood, even though such regulations are much more likely to be supported by fishermen. This study assesses whether banning illegal, destructive fishing methods and reducing the numbers of fishermen visiting from outside an area benefits a coral reef fishery, despite unregulated fishing by local fishermen using non-destructive methods. The abundance, biomass, mean length, and species richness of nine commercially important fish families are compared across ten independent patch reefs inside and outside the 470km2 Menai Bay Conservation Area in Zanzibar, Tanzania. Even after taking into account the effect of differences in habitat and the distance between reefs, 61% (±19.7%) more fish species were found in regulated than unregulated reefs. Fish abundance, biomass, and length were not affected, suggesting that banning destructive fishing may improve biodiversity, but that further regulations may be required to improve fish stocks. © 2011 John Wiley &amp; Sons, Ltd.",No,No,"The study does not include a case study of CBFM in a Pacific Island country, as the study was conducted in Tanzania, not a Pacific Island country."," No; The abstract does not mention any case study of CBFM in a Pacific Island country.
ReflectionThe SC requires a specific focus on CBFM in a Pacific Island country, but the abstract discusses a study conducted in Tanzania, which is not a Pacific Island country. Therefore, the study does not meet the SC.",Yes,"The study focuses on the impact of fishing regulations on commercially important fish families in a coral reef fishery, which meets the screening criteria for the inclusion of fisheries-related examples in the research project."," Yes; The abstract clearly focuses on the impact of fishing regulations on commercially important fish families.

ReflectionThe abstract focuses on the impact of fishing regulations on commercially important fish families in a coral reef fishery. The study assesses the benefits of regulating fishing on coral reefs by restricting the methods used or the total amount of fishing.",Maybe,"While the paper does not mention community-based management or co-management, it does examine the effects of regulating fishing on coral reefs which could be considered a form of community-based management."," Maybe; The paper does not explicitly mention community-based management or co-management but it does mention regulating fishing on coral reefs.
ReflectionThe paper does not use the language of community-based management or co-management but it does investigate the effects of regulating fishing on coral reefs.",Maybe,"While the paper does not mention CBFM, it does provide information on the benefits of regulating fishing practices, which could be relevant to CBFM."," No; The paper does not mention CBFM (Community Based Fisheries Management) at all.

ReflectionThe paper does not mention CBFM specifically, but it does discuss the benefits of regulating fishing and reducing destructive fishing practices on coral reefs.",
63,Coastal resources management planning and implementation for the Fishery Sector Program of the Philippines,"This paper explains the methods being used to plan for and implement a coastal resources management (CRM) component of the Fishery Sector Program (FSP) for the Philippines. The FSP, supported by the Asian Development Bank and implemented by the Department of Agriculture, intends to generate CRM plans through site-specific planning processes and to implement these plans through local government and nongovernment participation. The FSP has six components which are complementary and partly overlapping, these are: fishery resource and ecological assessments; CRM in twelve priority bays; law enforcement; research and extension; credit to promote alternative livelihood options; and fisheries-related infrastructure improvement. The CRM component, which has implications for most of the other components, is being initially implemented in three bays as pilot sites for the FSP. CRM planning entails resource, ecological, socioeconomic, cultural, legal and institutional assessments for management. Formulation of CRM plans is through local government, communities and nongovernment organizations as facilitated by Departments of Agriculture, and Environment and Natural Resources field offices with guidance from the Project Management Office and the Bureau of Fisheries and Aquatic Resources in Manila. Strategies for the implementation of the CRM plans typically involve the use of community-based resource management schemes. These include municipal marine parks; municipal and bay wide boundaries, zones and use rights for particular areas and resources; artificial reefs; special law enforcement officers at the village level; localized education programs; alternative livelihood projects and bay-wide management councils.",No,No,The abstract does not mention any case study of CBFM in a Pacific Island country.," No; The abstract does not mention any Pacific Island country.
ReflectionThe abstract does not mention any Pacific Island country, so it is unlikely that the study includes a case study of CBFM in a Pacific Island country.",Yes,"The paper includes a focus on fisheries management as one of its components, and the abstract suggests that fisheries management is a significant aspect of the paper."," Maybe; The abstract mentions both fisheries-related assessments and coastal resources management planning, but it is unclear whether or not the focus is solely on fisheries.

ReflectionThe paper focuses on coastal resources management planning, which includes a focus on fisheries management as one of its six components. While the abstract does not explicitly state that the paper is solely focused on fisheries, it does mention that the CRM component has implications for most of the other components, which suggests that fisheries management is a significant aspect of the paper.",Maybe,"While the abstract does not clearly state whether the management approach being used is community-based or government-based, the use of community-based resource management schemes in the strategies for implementation suggests that it may be community-based management."," Maybe; The abstract does not clearly state whether the management approach being used is community-based or government-based. 
ReflectionThe definition of community-based management given in the SC is ""an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources."" The abstract does not clearly state whether the management approach being used is community-based or government-based. However, the use of community-based resource management schemes in the strategies for implementation suggests that it may be community-based management.",No,The paper does not meet the screening criteria as it does not contain information on the benefits or barriers of CBFM.," No; The paper does not discuss community-based forest management (CBFM) at all.
ReflectionThe paper focuses on coastal resources management (CRM) planning and implementation for the Fishery Sector Program of the Philippines. While there may be some overlap in the concepts of CRM and CBFM, the paper does not specifically address CBFM.",
64,Transformations of Vietnamese shrimp aquaculture policy: Empirical evidence from the Mekong Delta,"International environmental and social concerns about tropical shrimp production have led to the emergence of private transnational governance and regulation. Using cases from Ca Mau we investigate how the shift to private transnational regulatory networks has changed the role of the government from a regulator to a facilitator of global private governance interests and arrangements. The rise of these various schemes has also been part of a shift from quantitative to qualitative policy goals within the Vietnamese aquaculture sector. In turn, this has led to new internal relationships, most notably the repositioning of private interests and community-based management within the Vietnamese state framework. We conclude that the ongoing transformation of the government's role in environmental shrimp governance requires mechanisms that foster improved participation and compliance between the state and private actors. To achieve this efforts are needed to better include local government at both communal and village levels and to use existing global market incentives more strategically. © 2010 Pion Ltd and its Licensors.",No,No,The study does not meet the screening criteria as it does not include a case study of CBFM in a Pacific Island country.," No; The title and abstract do not mention Pacific Island countries or CBFM.
ReflectionThe title and abstract focus on the transformation of shrimp aquaculture policy in Vietnam and the emergence of private transnational governance and regulation.",Yes,"The focus on ""shrimp production"" indicates that the paper includes fisheries management."," Maybe; The abstract mentions ""Vietnamese aquaculture sector,"" which may or may not exclusively focus on fisheries management.

ReflectionThe abstract mentions ""tropical shrimp production"" and ""aquaculture sector,"" which suggests that the paper may include broader marine resource management. However, it also mentions ""shrimp production,"" which is a type of fisheries management.",Maybe,"While the paper does not explicitly focus on community-based management, it does mention its repositioning within the Vietnamese state framework. However, without a clear definition or explanation of community-based management, it is difficult to determine whether the study meets the screening criteria."," No; The paper does not explicitly mention community-based management or any of its synonyms.

ReflectionThe paper primarily discusses the shift towards private transnational governance and regulation in the Vietnamese shrimp aquaculture sector. While the paper does mention the repositioning of private interests and community-based management within the Vietnamese state framework, it does not provide a clear definition or explanation of community-based management.",No,"The paper does not meet the screening criteria as it does not provide any information related to CBFM, benefits, or barriers."," No; The title and abstract do not mention CBFM, benefits, or barriers. 

ReflectionThe screening criteria require that the paper should contain information on the benefits of CBFM or barriers to CBFM. However, the given title and abstract do not mention anything related to CBFM.",
65,Mozambique’s Tchuma Tchato initiative of resource management on the Zambezi: A community perspective,"This text recounts the experience of a Mozambican rural community on the middle Zambezi with a new community‐based natural resource management program that is based on income generation through safari hunting, ecotourism, and fisheries management. The focus of their presentation is the relationship between local governance, land and resource rights, and sustainable use of abundant natural resources. © 1997 Taylor and Francis Group, LLC.",No,No,The study does not meet the screening criteria as it does not include a case study of CBFM in a Pacific Island country.," No; The study is about a natural resource management program in Mozambique and does not mention Pacific Island countries.

ReflectionThe SC requires a case study of CBFM in a Pacific Island country, but the abstract is about a natural resource management program in Mozambique. There is no mention of Pacific Island countries in the title or abstract.",Maybe,"The abstract mentions fisheries management, but it is unclear if it is a central focus of the paper or just a part of a broader discussion of natural resource management."," Maybe; The abstract mentions fisheries management, but it is not clear if it is a main focus of the paper.

ReflectionThe abstract mentions a new community-based natural resource management program that includes fisheries management, among other activities. The focus of the paper, however, seems to be on the relationship between local governance, land and resource rights, and sustainable use of abundant natural resources. It is not clear if fisheries management is a central topic of the paper or just a part of the broader discussion of natural resource management.",Maybe,"The abstract mentions a community-based natural resource management program, but it is unclear whether it meets the SC definition of community-based management."," Maybe; The abstract mentions a ""community‐based natural resource management program"", but does not provide enough details to confirm if it meets the SC.
ReflectionThe abstract mentions a community-based natural resource management program that includes fisheries management, but it is unclear whether the community has primary responsibility for managing their coastal resources as defined in the SC. It is also unclear whether the program involves equal power sharing between the government and the community.",No,The text does not meet the Screening Criteria as it does not contain information on the benefits or barriers to CBFM.," No; The title and abstract do not mention CBFM, hunting, ecotourism, and fisheries management do not appear to be directly related to CBFM. 

ReflectionThe Initial Response is correct as the text does not seem to be about CBFM.",
66,"FRESH WATER, SALT WATER: Socially engaged art, collaboration and the environment","This chapter explores three practice-led research projects we have been involved in, through which water flows, from fresh water to salt water and from salt to fresh. Each project uses the methodologies of socially engaged art practice and collaboration across disciplines to investigate particular environmental situations. Sugar vs the Reef celebrates innovations in regenerative agriculture by sugar cane farmers in Mackay, Queensland and the benefits of their work to the Great Barrier Reef through a reduction of chemical runoff to the Coral Sea. Healthy village, healthy fish is a collaborative project with fisheries policy experts and communities in Kiribati. Artists extend the work of Community Based Fisheries Management programs into creative waste-management strategies to protect coastal waters. Waterways of the Illawarra is a creek-walking project involving artists and community members. We walk upstream along local creeks to bring attention to the intersections of human development with suburban waterways and their riparian ecosystems. In each project, the artists utilise a range of approaches, both practical and poetic, with which to engage with the environmental issues raised by human impacts on waterways. This essay documents how we have used socially engaged art methods to activate new dialogues and responses to environmental projects. © 2022 selection and editorial matter, Camille Roulière and Claudia Egerer; individual chapters, the contributors.",No,No,The Title and Abstract do not meet the Screening Criteria as there is no mention of any case study related to CBFM or any Pacific Island country.," No; There is no mention of CBFM or any Pacific Island country in the Title or Abstract. 

ReflectionThe SC requires that the study must include at least one case study of CBFM in a Pacific Island country. CBFM stands for Community-Based Fisheries Management which is a specific approach to fisheries management that involves active participation of communities in resource management. The Title and Abstract do not mention any case study related to CBFM or any Pacific Island country.",Yes,"The abstract includes a project specifically related to fisheries management, and the other projects still have a focus on environmental management that could be relevant to fisheries."," Maybe; The abstract mentions a project related to fisheries management in Kiribati but also includes projects related to regenerative agriculture and creek-walking.
ReflectionThe abstract includes a project that is related to fisheries management and a project that is related to water management, but not specifically focused on fisheries. However, the SC does allow for papers that refer to broader marine resource management if they still include a focus on fisheries management, so it's possible that these projects could be relevant.",Maybe,"The language used in the abstract is unclear, and more information would be needed to determine whether the studies mentioned meet the criteria for community-based management."," Maybe; The abstract mentions ""Community Based Fisheries Management programs,"" but it is unclear whether these programs meet the definition of community-based management provided in the SC.
ReflectionThe abstract mentions Community Based Fisheries Management programs, which could potentially fall under the definition of community-based management provided in the SC. However, the abstract does not provide enough detail to determine whether these programs meet the criteria.",No,The paper does not meet the screening criteria as it does not contain information related to CBFM.," No; The title and abstract do not mention CBFM or any related terms.
ReflectionThe title and abstract do not meet the screening criteria as they do not discuss CBFM or any barriers to it.",
67,Sri Lankan reservoir fishery: A case for introduction of a co-management strategy,"The inland fisheries of Sri Lanka are essentially artisanal on most of the reservoirs in the country. The annual inland fish production declined dramatically after 1990, when state patronage for the development of the inland fisheries was discontinued for 4 years. This decline was shown to be a result of growth overfishing of the two dominant cichlid species which accounted for over 90% of landings. This was a result of using small mesh (<6.9 cm) gillnets in the absence of the State-sponsored monitoring procedure in the fishery after 1990. This indicates that it is necessary to monitor inland fisheries management in Sri Lanka through a centralized authority in the current situation. However, in some Sri Lankan reservoirs, fishing communities can be categorized as 'organized' because they collectively make decisions to define procedures for the rational exploitation of the fishery resources. In reservoirs with 'organized' fishing, the communities themselves have developed mechanisms tto regulate the landing sizes of dominant cichlid fish species through community-based fisheries management strategies. In such reservoirs, over-exploitation of fish stocks was not evident, even after 1990, when state-sponsored monitoring procedures were suspended. Based on these observations, an alternative approach is recommended for the management of Sri Lankan reservoir capture fisheries in which the Government and resource-users have equal responsibilities in the management of the resources.",No,Maybe,"The paper does not include a case study of CBFM in a Pacific Island country, but it may provide a comparison with CBFM practices in Pacific Island countries."," No; The study is about Sri Lankan reservoir fishery and does not mention Pacific Island countries.
ReflectionThe study does not focus on Pacific Island countries, but it is possible that the research includes a comparison with CBFM practices in Pacific Island countries.",Yes,The abstract provides a clear example of fisheries management in Sri Lanka and suggests an alternative approach to the management of Sri Lankan reservoir capture fisheries.," Yes; The abstract talks about inland fisheries of Sri Lanka and the decline of fish production due to overfishing of two dominant cichlid species.

ReflectionThe abstract focuses on the inland fisheries of Sri Lanka, which is a specific fishery-related example. It also discusses the decline in fish production due to overfishing, which is a clear indication of fisheries management.",No,"The title mentions co-management, which is not within the definition of community-based management provided in the SC."," Maybe; The title mentions co-management, but the abstract mentions community-based fisheries management strategies. 

ReflectionThe definition of community-based management provided in the SC includes an approach where coastal communities and fishers have primary responsibility for managing coastal resources, which is mentioned in the abstract. However, the title mentions co-management, which may indicate that government-based management is also involved.",No,The paper does not contain information on CBFM or barriers to CBFM.," No; The paper is about fisheries management in Sri Lanka and does not mention CBFM.
ReflectionThe paper does not meet the SC because it is not related to CBFM.",
68,"Will small MPAs work?: The case of small-sized MPAs in Southern Iloilo, Philippines","Most of the marine protected areas (MPAs) in the Philippines are small-sized and community-based, and their contribution to the conservation efforts have been usually overlooked. This paper will present the results of the biological assessment study conducted in three community-based MPAs in Southern Iloilo, Philippines. Each MPA has a 2-ha no-take zone and this size is way below the recommended optimal size of 10–100 km2. Results show that fish biomass showed an overall increase of about 1–5 times. This is attributed to both an increase in abundance and in fish size. Fish in this survey conducted in 2013 were about 2.3–3.3 times the size of fish in the 2007 baseline data. Macroepifaunal abundance increased 2 to 8 times across the three MPA sites. However, live hard coral cover showed a parallel ∼40% decrease across all sites, which can be attributed to several factors. The conservation goals of these MPAs have been attained. However, the results of biological assessments still need to be correlated with a study on the socioeconomic impact of the MPAs in the community to be able to arrive at good management decisions. © 2017 Elsevier Ltd",No,No,"The paper does not meet the SC, as it does not have a case study of CBFM in a Pacific Island country."," No; The abstract does not mention any Pacific Island country. 

ReflectionThe SC demands that the paper must have a case study of CBFM in a Pacific Island country. The abstract only mentions the Philippines, which is not in the Pacific Island region.",Yes,The paper includes a focus on fisheries management within the broader context of community-based MPAs.," Maybe; The abstract mentions the increase in fish biomass and abundance across the three community-based MPAs in Southern Iloilo, but it is unclear whether the paper focuses solely on fisheries management or includes broader marine resource management.
 
ReflectionThe paper does not focus solely on fisheries management, but it does include a focus on fisheries management within the broader context of community-based MPAs.",Maybe,"While the abstract mentions that the MPAs are community-based, it does not provide enough information to determine if the study meets the screening criteria."," Maybe; The abstract mentions that the MPAs are community-based, but it does not provide enough information to determine if the study meets the criteria.
ReflectionThe abstract mentions that the MPAs are community-based, but it does not provide information on whether the management is solely community-led or if there is government involvement.",No,The paper does not meet the screening criteria as it does not contain information on CBFM or the barriers to it.," No; The paper is not about CBFM at all.

ReflectionThe paper is about the effectiveness of small-sized marine protected areas in the Philippines. It does not contain any information on CBFM or the barriers to it.",
69,One size does not fit all: Critical insights for effective community-based resource management in Melanesia,"In recent years, Fiji's approach of combining traditional systems of community-based coastal management and modern management systems has become a successful blueprint for marine conservation, particularly the Locally Managed Marine Area (LMMA) network model. As a result of this success, conservation practitioners have imported the Fiji LMMA model to the Solomon Islands and in Vanuatu in hope of replicating the purported success attained in Fiji. This paper argues that because tenure systems and associated political systems in Fiji, the Solomon Islands, and Vanuatu are substantially different, one cannot simply extrapolate the more centralized tenurial and political Fiji model to the decentralized tenurial and politically eclectic Solomons and Vanuatu. This paper provides an analysis of some of the various approaches used in these countries to make a case for why socio-political diversity and historical particulars matter to resource management and conservation-in-practice (and for any development interventions). By examining examples of various nested and polycentric governance approaches—family, community, tribal, confederations, local community-based organizations (CBOs), and Church—it elucidates not only some of the differences between Fiji and Solomon Islands/Vanuatu, but also between Vanuatu and the Solomon Islands. This provides critical insights into some of the myriad of factors impinging on conservation aspirations in these countries and may offer some alternative ways forward not currently considered by conservation practitioners. Finally, the paper provides some guidelines to how to increase the long-term success of marine conservation programs for fisheries management and community-based management initiatives in the region. © 2017 Elsevier Ltd",Yes,Maybe,"the paper does not explicitly mention a case study of CBFM in a Pacific Island country in the title or abstract, but there may be a case study mentioned in the body of the paper."," No; there is no explicit mention of a case study of CBFM in a Pacific Island country in the title or abstract.

ReflectionThe title and abstract focus on community-based resource management in Melanesia but do not explicitly mention CBFM in a Pacific Island country. However, the paper may still mention a case study of CBFM in a Pacific Island country in the body of the paper.",Maybe,"While the title and abstract have a broader focus on community-based resource management, they do mention fisheries management specifically, which suggests that it may meet the screening criteria."," Maybe; The abstract mentions marine conservation and management, but it also specifically mentions fisheries management.

ReflectionThe abstract mentions both marine conservation and fisheries management, which suggests that it may meet the screening criteria. However, the title and abstract also indicate a broader focus on community-based resource management, which may not be specific enough to qualify as a fisheries-related example.",Maybe,"The abstract mentions both community-based and modern management systems, but it is not clear whether the government is involved in management."," Maybe; The abstract mentions ""traditional systems of community-based coastal management"" and ""community-based organizations"", but it also mentions ""modern management systems"" and does not explicitly state that there is no government involvement in the management.

ReflectionThe definition of community-based management given in the SC is ""an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources"". While the abstract mentions community-based management, it is not clear whether the government is also involved in management. However, the mention of ""modern management systems"" could suggest government involvement, which would not meet the SC.",Maybe,"The abstract mentions community-based management, which could potentially include CBFM, but it is not clear whether the paper specifically addresses benefits or barriers to CBFM."," Maybe; The abstract mentions community-based management and resource management, but it is not clear if there is information on benefits or barriers to CBFM specifically.
ReflectionThe abstract does mention community-based management, which could potentially include CBFM. However, it is not clear whether the paper specifically addresses benefits or barriers to CBFM.",
