,Title,Abstract,Accept,Accept - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Rationale - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Thoughts - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Accept - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,Rationale - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,Thoughts - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,"Accept - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Rationale - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Thoughts - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Accept - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.","Rationale - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.","Thoughts - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.",Bad Parsing - SC4,Bad Parsing - SC2,Bad Parsing - SC3
49,Social dimensions of local fisheries co-management in the Coral Triangle,"SUMMARY The challenge to manage coastal resources within Asia-Pacific's Coral Triangle has gained global attention. Co-management is promoted as a key strategy to address this challenge. Contemporary community-based co-management often leads to 'hybridization' between local (customary) practices, and science-based management and conservation. However, the form of this hybrid has rarely been critically analysed. This paper presents examples of co-management practices in eastern Indonesia and Solomon Islands, focusing in particular on area closures. In contrast to the temporary closures used before the influx of sustainability discourses, contemporary closures are periodically-harvested but predominantly closed, reflecting attempts to reduce fishing effort and enhance ecological sustainability. When areas are opened, harvests are relatively short and largely triggered by the social and economic needs of particular individuals or whole communities. In all cases, engagement with environmental management interventions has led to more formalized access and use arrangements. The harvesting and management practices observed are influenced by these relatively recent interventions designed to promote sustainability, but also by religious institutions, increasing resource demand, and modernization. This study unpacks some of the contemporary influences, particularly environmental sustainability initiatives, on local management practices, and provides insights for co-management in practice. Copyright © Foundation for Environmental Conservation 2015.",No,No,"Although the abstract mentions examples of co-management practices in eastern Indonesia and Solomon Islands, it does not specifically mention a case study on CBFM in a Pacific Island country."," No; The abstract mentions examples of co-management practices in eastern Indonesia and Solomon Islands, but does not explicitly state that it includes a case study on CBFM in a Pacific Island country.

ReflectionThe screening criteria requires the study to include at least one case study of CBFM in a Pacific Island country. CBFM refers to community-based fisheries management, which is a form of co-management. The abstract mentions examples of co-management practices in eastern Indonesia and Solomon Islands, but does not explicitly state that it includes a case study on CBFM in a Pacific Island country.",Maybe,"The examples presented in the abstract may include both fisheries management and broader marine resource management, so a more thorough evaluation of the paper is required to determine whether it meets the screening criteria."," Maybe; The abstract mentions fishing effort and ecological sustainability, but it is not clear whether the examples presented are related to fisheries management or broader marine resource management.

ReflectionThe abstract mentions fishing effort and ecological sustainability, which are often related to fisheries management, but it is not clear whether the examples presented are exclusively related to fisheries or include broader marine resource management.",Maybe,"The paper mentions both community-based co-management and co-management, but it is unclear if the latter is the focus of the study."," Maybe; The paper mentions both co-management and community-based co-management, but it is unclear if the latter is the focus of the study.

ReflectionThe paper focuses on co-management practices in eastern Indonesia and Solomon Islands, and the abstract mentions that contemporary community-based co-management leads to hybridization between local practices and science-based management. However, it is unclear whether the paper only focuses on community-based co-management or also includes government-based or co-management approaches.",Maybe,"While the abstract mentions contemporary closures and environmental sustainability initiatives, it is unclear whether the paper will actually contain information on barriers to CBFM."," Maybe; The abstract mentions contemporary closures and environmental sustainability initiatives which could potentially lead to information on barriers to CBFM.
ReflectionThe SC states that the paper should contain information on either benefits or barriers to CBFM. While the abstract does mention contemporary closures and environmental sustainability initiatives, it is unclear whether the paper will actually contain information on barriers to CBFM.",,,
50,Facing limits in oceanic fisheries: Part I: Extent of the problem and policy responses,"Research from the Food and Agriculture Organization of the United Nations (FAO) and fishery scientists indicates that the wild catch offish and other marine life from the oceans will not be able to increase significantly in the future, except through rehabilitation and better management of stocks. Despite the limited potential for bigger catches, fishing fleets have expanded rapidly in recent decades under government subsidies. Fishers now have approximately twice the capacity necessary to make the annual catch from the oceans. The juxtaposition of natural limits and overinvestment has created a crisis situation for the world's fishers, fishing communities and traditional fishing cultures. Part I of this article discusses policy responses at the national and international level. How policy makers respond to the overextension of the marine fishing industry will determine the extent of job loss, hunger and dislocation that will result. Part II, to be published in the Forum's next issue (February 1995), will examine the social aspects of the world's fishing industry, including the demography of fishers, utilization of fisheries products, the relative social contribution of aquaculture and policy responses to overcapacity. Policy makers could enhance the social benefits of marine fisheries — both jobs and food — through a combination of government oversight and community based management. 1994 United Nations",No,No,The paper does not meet the screening criteria as it does not include any case study of CBFM in a Pacific Island country.," No; The title and abstract do not mention anything about CBFM in a Pacific Island country.
ReflectionThe title and abstract focus on the extent of the problem in oceanic fisheries and policy responses at the national and international level.",Maybe,"The abstract mentions fisheries, but it is not clear if the study is focused solely on fisheries management or if it includes broader marine resource management. Further information is needed."," Maybe; The abstract mentions fisheries, but it is not clear if the study is focused solely on fisheries management. 

ReflectionThe abstract discusses the issue of overfishing, which is a problem in fisheries management, but it also mentions the need for better management of stocks and policy responses at the national and international level, which could include broader marine resource management.",No,The abstract does not meet the screening criteria as it does not mention community-based management or any approach that involves coastal communities and fishers in managing their coastal resources.," No; The abstract does not mention community-based management or any approach that involves coastal communities and fishers in managing their coastal resources.
ReflectionThe abstract is focused on the overextension of the marine fishing industry and the policy responses at the national and international level. There is no mention of community-based management or any approach that involves coastal communities and fishers in managing their coastal resources.",No,The paper does not meet the screening criteria as it does not discuss CBFM.," No; The paper does not seem to be discussing CBFM at all.
ReflectionThe paper is not discussing CBFM, but rather the overextension of marine fishing industry and the policy responses for better management of stocks.",,,
51,Madagascar Fish Eagle productivity in the Tsimembo-Manambolomaty Protected Area and surrounding habitat of western Madagascar,"We monitored the productivity of the critically endangered Madagascar Fish Eagle Haliaeetus vociferoides inside and outside of the Tsimembo-Manambolomaty Protected Area (T-M PA), western Madagascar from 2010 to 2015. We recorded 14 breeding pairs inside and 13 outside T-M PA. The T-M PA and surrounding habitat hosted respectively 10 and six breeding polyandrous pairs, composed of one adult female and two adult males. During the six-year study period, 101 eggs were laid in nests in T-M PA of which 60 hatched and 58 young fledged. We recorded 62 eggs laid in nests outside the T-M PA of which 39 hatched and 36 young fledged. Productivity was similar at both sites, inside and outside T-M PA, with 0.84 (58/69) and 0.76 (36/47) fledgling per nesting attempt and 0.69 (58/84) and 0.5 (36/72) fledglings per territorial pair, respectively. Polyandrous pairs have higher productivity compared with normal pairs. Threats to Madagascar Fish Eagles and their habitat were low due to the existence of a community-based resource management system called the Local Management Secured System (GELOSE) inside and outside the T-M PA. This system is based on strengthening local traditional customs and rules, and involving local people in managing their natural resources sustainably along with biodiversity conservation. © 2018 NISC (Pty) Ltd.",No,No,The study is not focused on a Pacific Island country and does not include a case study of CBFM.," No; The study is focused on Madagascar, which is not a Pacific Island country.

ReflectionThe SC requires that the study includes a case study of CBFM in a Pacific Island country, which means that the study must be focused on a Pacific Island country and include a case study of CBFM.",No,The paper does not meet the screening criteria as it does not include any fisheries-related examples or focus on fisheries management.," No; The paper does not mention fisheries management.
ReflectionThe paper focuses on monitoring the productivity of the Madagascar Fish Eagle in a protected area and its surrounding habitat. It does not mention fisheries management or any fisheries-related examples.",No,"Although the abstract mentions a community-based resource management system, it does not meet the definition of community-based management as specified in the SC."," Maybe; The abstract mentions a community-based resource management system, but it is not clear whether it meets the definition of community-based management as specified in the SC.
ReflectionThe authors mention a community-based resource management system called the Local Management Secured System (GELOSE), which involves local people in managing their natural resources sustainably. However, it is not clear whether this approach gives primary responsibility for managing coastal resources to coastal communities and fishers, as specified in the SC.",No,The paper does not meet the screening criteria as it does not contain information related to CBFM.," No; The title and abstract do not mention CBFM or any related terms.
ReflectionThe paper does not appear to be related to CBFM, as there is no mention of community-based forest management or related terms.",,,
52,Hidden benefits and risks of partial protection for coral reef fisheries,"Partially protected areas are now the dominant global form of spatial management aimed at preserving ecosystem integrity and managing human use. However, most evaluations of their efficacy use only a narrow set of conservation indicators that reflect a fraction of ways in which protection can succeed or fail. In this paper, we examine three case studies of partially protected coral reef fishery systems to evaluate benefits and risks of their use as a management tool. We use data from community-based management arrangements in three Pacific Island countries to demonstrate three vignettes of how partial protection can boost fisheries production, enhance the ease with which fishers catch their prey, and alter the composition of fisheries yields. These changes in fisheries productivity, catchability, and vulnerability under partial protection carry substantial benefits for fishers. However, they also carry significant risks for ecosystems and fisheries livelihoods unless adaptively managed so as to confer the short to medium term benefits in resource performance without risking longer term sustainability. © 2022 by the author(s). Published here under license by the Resilience Alliance.",No,Maybe,"While the abstract mentions community-based management arrangements in three Pacific Island countries, it is not clear whether these arrangements involve CBFM or some other form of community-based management."," Maybe; The abstract mentions three case studies of partially protected coral reef fishery systems in three Pacific Island countries, but it is unclear if any of these are CBFM.

ReflectionCBFM stands for Community-Based Fisheries Management, which is a specific approach to fisheries management that involves local communities in decision-making processes. While the abstract mentions community-based management arrangements in three Pacific Island countries, it is not clear whether these arrangements involve CBFM or some other form of community-based management.",Yes,"The paper primarily focuses on coral reef fishery systems, which meets the SC. While there is mention of broader ecosystem management in the abstract, the focus on fisheries management is still evident."," Maybe; The title mentions coral reef fisheries, but the abstract mentions broader ecosystem management.

ReflectionThe paper focuses on partially protected coral reef fishery systems, which aligns with the SC. However, the abstract also mentions the broader goal of preserving ecosystem integrity and managing human use, which may indicate a broader focus on marine resource management.",Maybe,Further examination of the paper is necessary to determine whether the community-based management arrangements mentioned in the abstract meet the definition provided in the SC.," Maybe; The abstract mentions community-based management arrangements in three Pacific Island countries, but it is unclear whether they meet the given definition of community-based management. 
ReflectionThe authors do mention community-based management arrangements, but it is not clear whether these arrangements fit the definition provided in the SC. It may be necessary to further examine the paper to determine whether it meets the SC.",No,The paper does not meet the screening criteria as it does not provide information on CBFM.," No; The paper does not mention CBFM.
ReflectionThe paper focuses on partially protected coral reef fishery systems and their benefits and risks as a management tool. It does not mention CBFM at all.",,,
53,A theory of scaling for community-based fisheries management,"Community-based approaches to fisheries management has emerged as a mainstream strategy to govern dispersed, diverse and dynamic small scale fisheries. However, amplifying local community led sustainability outcomes remains an enduring challenge. We seek to fill a theoretical gap in the conceptualization of ‘scaling up community-based fisheries management’. We draw on literature of agriculture innovations to provide a framework that takes into account process-driven and structural change occurring across multiple levels of governance, as well as different phases of scaling. We hypothesize that successful scaling requires engagement with all aspects of a governing regime, coalescing a range of actors, and therefore, is an enterprise that is larger than its parts. To demonstrate where the framework offers value, we illustrate the development of community-based fisheries management in Vanuatu according to the framework’s main scaling dimensions. © 2021, The Author(s).",No,No,The title and abstract do not include any case study related to CBFM in a Pacific Island country.," No; There is no mention of any case study related to CBFM in a Pacific Island country in the title or abstract.

ReflectionThe SC requires the study to include a case study related to CBFM in a Pacific Island country. The title and abstract do not explicitly mention any case study related to CBFM in any Pacific Island country.",Maybe,"While the abstract mentions community-based fisheries management, it does not explicitly state that the paper will discuss specific examples related to fisheries management. However, the paper may still meet the screening criteria if it includes a focus on fisheries management within a broader marine resource management context."," Maybe; The abstract mentions community-based fisheries management and its sustainability outcomes, but it is unclear from the abstract whether the paper will discuss specific examples related to fisheries management.

ReflectionThe abstract refers to community-based fisheries management, which is a fisheries-related concept. However, the abstract does not explicitly state that the paper will discuss specific examples related to fisheries management, so it is unclear whether the paper meets the screening criteria.",Maybe,"The abstract mentions ""community-based approaches to fisheries management"" but does not explicitly mention CBM/CBFM or co-management."," Maybe; The abstract mentions ""community-based approaches to fisheries management"" but does not explicitly mention CBM/CBFM or co-management.
ReflectionThe abstract mentions ""community-based approaches to fisheries management"", which is similar to CBM/CBFM. However, the definition of CBM/CBFM provided in the SC is quite specific and the abstract does not mention it. Therefore, it is unclear whether this study meets the SC.",No,The paper does not meet the screening criteria as it does not contain information on the benefits or barriers of CBFM.," No; The paper does not appear to focus on CBFM or its benefits or barriers.
ReflectionThe title and abstract do not mention CBFM or its benefits or barriers. The paper seems to focus on a theoretical framework for scaling up community-based approaches to fisheries management.",,,
54,Assessment of governance of fisher communities of inland openwater fisheries in Bangladesh,"The Community Based Fisheries Management (CBFM) with partnership arrangement of government, non-government organisations, fisher communities and other stakeholders has introduced community management of inland openwater fisheries in Bangladesh. This arrangement introduced CBFM approaches named fisher-led, community-led and women-led approach. One of the principles behind community based managed fisheries is to improve democratisation process of changing governance of fisheries aiming to manage their resources efficiently. The CBFM approach has made a significant contribution towards improvement of governance and democracy to fisher communities. Besides, a wider range of local institutional arrangements as community based organizations (CBOs) have been established through participatory process with legal entity. Now, there is practice of governance and democracy within CBOs and fisher communities. They are more efficient in participation of fisheries management. This paper presents and assesses the governance status of the fisher communities in inland openwater fisheries under co-management arrangement in Bangladesh. In summary, it might recommend at policy level to scale up community based fisheries approach to promote governance for better management with a long term commitment. © 2013 Elsevier Ltd.",No,No,"The study does not include a case study of CBFM in a Pacific Island country, as the study is about inland open water fisheries in Bangladesh."," No; The study is about inland open water fisheries in Bangladesh, not in a Pacific Island country.
ReflectionThe SC requires a case study of CBFM in a Pacific Island country. The abstract mentions CBFM, but it is in the context of inland open water fisheries in Bangladesh.",Yes,"The paper focuses on community-based management of inland openwater fisheries in Bangladesh, which meets the screening criteria for fisheries-related examples."," Maybe; The abstract mentions ""inland openwater fisheries"" which may indicate a focus on freshwater fisheries, but more information is needed to determine if it meets the screening criteria.
ReflectionThe abstract mentions the focus on community-based management of inland openwater fisheries in Bangladesh. While the paper does not explicitly mention marine fisheries, the focus on fisheries management in inland openwater systems may still meet the screening criteria.",Maybe,"The paper mentions CBFM, but the mention of a partnership with government and non-government organizations requires further clarification to determine if it meets the SC."," Maybe; The paper mentions Community Based Fisheries Management (CBFM) and community-led approaches, but also mentions a partnership with government and non-government organizations.
ReflectionThe paper mentions CBFM, which aligns with the definition of community-based management given in the SC. However, the mention of a partnership with government and non-government organizations complicates the matter. It is unclear whether the government has equal power in managing the fisheries or is simply a partner in the CBFM approach.",Maybe,The paper may contain information on the benefits or barriers of CBFM as it assesses the governance status of fisher communities under the co-management arrangement in Bangladesh.," Maybe; The abstract mentions the Community Based Fisheries Management (CBFM) approach and its contribution to the improvement of governance and democracy to fisher communities, but it does not explicitly state whether the paper contains information on the benefits or barriers of CBFM. 
ReflectionWhile the abstract does not specifically mention the benefits or barriers of CBFM, it does discuss the governance status of fisher communities under the co-management arrangement in Bangladesh. It is possible that this assessment may include information on the benefits or barriers of CBFM.",,,
55,"Tonle Sap Lake, Cambodia: A perspective on its transborder hydrological and resources governance","Tonle Sap Lake is the largest freshwater lake in South East Asia, being situated at the heart of the Mekong River Basin. Governance of the lake over the recent past has been weak and overly complex, and the basin governance structure has changed over time in terms of its fisheries management framework. The governance framework initially focused on the commercial exploitation of fish resources, but has more recently switched to a community-based fisheries management, biodiversity conservation and open access model. This study discusses how the water flows occurring between the Mekong River and Tonle Sap Lake complicate the governance of the lake, and particularly its fisheries, biodiversity, land and water management activities. The establishment of the Tonle Sap Authority (TSA) in 2007 sought to address the governance challenges facing the lake. The current study concludes, however, that the TSA alone is not sufficient and that global, regional and national stakeholders must make an effort to ensure the water flows between the lake and the Mekong River are themselves considered a core governance issue for the Tonle Sap. © 2015 Wiley Publishing Asia Pty Ltd.",No,No,there is no mention of CBFM or Pacific Island countries in the title or abstract.," No; the abstract does not mention anything about CBFM or Pacific Island countries. 
ReflectionThe SC requires the study to have a case study of CBFM in a Pacific Island country, but the abstract does not mention any of these terms.",Yes,"Although the abstract includes other aspects of lake management, it specifically discusses the history and changes in fisheries management frameworks and concludes that the governance challenges facing the lake must be addressed for effective fisheries management."," Maybe; The abstract mentions fisheries management but also includes broader topics such as biodiversity conservation and water management.

ReflectionThe abstract mentions the governance of fisheries in Tonle Sap Lake, but it also includes other aspects of the lake's management such as biodiversity conservation and water management. Therefore, it is important to consider whether the focus on fisheries management is significant enough to meet the screening criteria.",Maybe,"While the abstract mentions a shift towards community-based fisheries management, it also notes the previous focus on commercial exploitation. Without more information, it is unclear whether the paper meets the community-based management criteria."," Maybe; The abstract mentions both commercial and community-based fisheries management, but it is unclear which approach is the primary focus.
ReflectionThe definition of community-based management provided in the SC is an approach that gives primary responsibility to coastal communities and fishers for managing coastal resources. The abstract mentions the recent shift towards community-based fisheries management, but also notes the previous focus on commercial exploitation. It is unclear whether the community-based approach is the primary focus of the paper.",No,The paper does not meet the Screening Criteria as it does not contain any information related to CBFM.," No; The title and abstract do not mention CBFM or any related terms.
ReflectionThe title and abstract are not relevant to CBFM and do not provide any information on its benefits or barriers.",,,
56,The difference that class makes: Neoliberalization and non-capitalism in the fishing industry of new england,"Fishing economies are typically represented as pre-capitalist and as a barrier to capital accumulation rather than as an alternative economy with its own potentials. Privatization (and capitalism) appears logical and inevitable because ""there is no alternative"" described or given. The class analysis presented here focuses on questions of property and subjectivity and describes fishing as a non-capitalist and community-based economy consonant with both a tradition of common property and an image of ""fishermen"" as independent and interested in fairness and equity. While the latter is associated with a neoliberal subject aligned with the capitalist economy, a class analysis of fishing repositions ""fishermen"" as community subjects aligned with a community economy. © 2007 The Author Journal compilation © 2007 Editorial Board of Antipode.",No,No,The paper does not meet the screening criteria as there is no mention of CBFM in a Pacific Island country.," No; There is no mention of CBFM or Pacific Island countries in the title or abstract.
ReflectionThe title and abstract discuss fishing economies and class analysis, but there is no indication that a case study of CBFM in a Pacific Island country is included.",Yes,"While the abstract does not explicitly mention fisheries management, the focus on the fishing industry and its economy meets the SC's criteria for studies with fisheries-related examples."," Maybe; The abstract does not explicitly mention fisheries, but it does discuss fishing as a non-capitalist and community-based economy.

ReflectionThe abstract does not explicitly state that it is discussing fisheries management, but it does focus on the fishing industry and its economy. It may be worth considering the broader context of the paper to determine whether it meets the SC.",No,The abstract does not provide any evidence that the paper meets the screening criteria for community-based management.," Maybe; The abstract does not mention any specific management approach or terminology.
ReflectionThe abstract discusses the fishing industry as a non-capitalist and community-based economy, but it does not explicitly mention any management approach or terminology related to CBM.",No,The paper does not meet the screening criteria as it does not contain any information on CBFM or its benefits and barriers.," No; The paper is discussing the fishing industry and does not mention CBFM or any relevant concepts.
ReflectionThe paper does not meet the screening criteria as it is not related to CBFM or its benefits and barriers.",,,
57,CROI 2016: Hot spots in HIV infection and advances in HIV prevention,"The 2016 Conference on Retroviruses and Opportunistic Infections (CROI) highlighted hot spots in HIV infection. Men who have sex with men (MSM), transgender populations, people who inject drugs, fisherfolk, migrants, adolescents, and older adults are heavily impacted in a number of regions. Stigma contributes to risk behaviors and HIV acquisition across populations. HIV testing is a crucial first step in the HIV care continuum, and several large community-based surveys are underway in Africa to increase HIV testing, linkage to care, and uptake of antiretroviral treatment. Advances in preexposure prophylaxis (PrEP) featured prominently at CROI 2016. Two large efficacy trials of a vaginal ring containing the investigational drug dapivirine demonstrated efficacy and safety in preventing HIV infections in women in Africa. Data on the safety of long-acting injectable PrEP and several investigational PrEP drugs and formulations were also presented. Knowledge and use of PrEP among MSM in the United States appears to be increasing, and high uptake was seen among black MSM when provided as part of a culturally tailored support program. The use of broadly neutralizing antibodies for HIV prevention is a novel and promising approach to be evaluated in efficacy trials. © 2016, IAS–USA. All rights reserved.",No,No,The title and abstract do not include any case study on CBFM in a Pacific Island country.," No; The title and abstract do not mention CBFM or any Pacific Island country.

ReflectionThe title and abstract do not mention anything about CBFM or any Pacific Island country.",No,"The abstract does not meet the screening criteria as its primary focus is on HIV infection, prevention, and treatment. Though it mentions fisherfolk, it does not include fisheries management in its focus."," No; The abstract mentions fisherfolk but does not include fisheries management in its focus. 
ReflectionThe abstract mentions fisherfolk but the primary focus is on HIV infection, prevention, and treatment. The mention of fisherfolk is in the context of identifying populations that are heavily impacted by HIV infection.",No,The paper is not related to community-based management.," No; The paper does not seem to be related to community-based management, but rather discusses HIV/AIDS prevention and treatment.

ReflectionThe paper does not seem to be related to fisheries management or community-based management approach.",No,The abstract does not contain any information related to CBFM.," No; The abstract does not mention CBFM at all and does not seem to be related to this topic.
ReflectionThe abstract describes the highlights of the 2016 Conference on Retroviruses and Opportunistic Infections, which includes various topics related to HIV infection and prevention. There is no indication of any specific focus on CBFM.",,,
58,Community involvement in fisheries management: Experiences in the Gulf of Thailand countries,"This paper examines the involvement of coastal communities in fisheries management among the countries of the Gulf of Thailand-Malaysia, Vietnam, Cambodia and Thailand. Initiatives to decentralize management to local governing bodies, to utilize traditional management methods and to engage in community agreements to protect local resources are explored. An examination of recent experiences indicates some movement toward more local involvement in management. However, the study also leads to several suggestions for the future: in Vietnam and Cambodia, there is a need for significant legislation to control fisheries operations and greater clarity of the role of communities in management; in Malaysia, there is an overall need for more support to local fisheries management; and in Thailand, the need is for greater support of local-level enforcement and monitoring activities. © 2009 Elsevier Ltd. All rights reserved.",No,No,The study does not include a case study of CBFM in a Pacific Island country.," No; The abstract discusses the involvement of coastal communities in fisheries management in Gulf of Thailand countries.
ReflectionThe SC specifically mentions Pacific Island countries while the abstract discusses Gulf of Thailand countries.",Maybe,The abstract mentions some initiatives related to fisheries management but also includes broader marine resource management. Further clarification is needed on the extent to which the paper focuses on fisheries management.," Maybe; The abstract mentions fisheries management but also includes broader marine resource management.

ReflectionThe abstract mentions initiatives related to fisheries management, but it also includes broader marine resource management. It is unclear to what extent the paper focuses on fisheries management.",Maybe,It is unclear if the study meets the screening criteria as the abstract does not provide enough information to determine if it is community-based management or co-management.," Maybe; The abstract mentions involvement of coastal communities in fisheries management, but does not clarify if it is community-based management or co-management.
ReflectionCommunity-based management is an approach that gives primary responsibility to coastal communities and fishers for managing their coastal resources. The abstract mentions involvement of coastal communities, but it is unclear if they have primary responsibility or if it is a co-management approach.",No,The paper does not meet the screening criteria as it does not contain any information on the benefits of CBFM or barriers to CBFM.," No; The paper does not relate to CBFM at all.

ReflectionThe paper is discussing coastal community involvement in fisheries management in the Gulf of Thailand, which is not directly related to CBFM.",,,
59,Community-based organic agriculture in the Philippines,"This paper explores institutional mechanisms that might be required to boost both organic agriculture and rural development in the Philippines. Special attention is paid to community-based organic agriculture as a pathway to rural development. The Philippines has two decades of experience of community-based natural resource management. Unlike public natural resources such as forests, watersheds or fisheries, however, the community-based organic agriculture programme is intended to deal with the private property regime. Thus, if the programme is to be successful, agrarian land reform must continue. Integrated rice- duck farming is among the suitable and viable options for organic agriculture, given that rice is a major agricultural crop and duck meat is popular in the Philippines. Area-based organic food certification systems need to be formulated and a government-farmers partnership should be forged to facilitate farmers' access to domestic and international organic food markets.",No,No,The paper does not meet the SC as it does not provide any case study related to CBFM in a Pacific Island country.," No; The paper does not mention any case study related to CBFM in a Pacific Island country.
ReflectionThe paper talks about community-based organic agriculture in the Philippines, but it does not mention any specific case study related to CBFM in a Pacific Island country. The SC requires a specific focus on CBFM in Pacific Island countries.",No,The paper does not meet the screening criteria as it does not include any fisheries related examples or focus on fisheries management.," No; The paper does not mention fisheries or marine resource management.
ReflectionThe paper focuses on organic agriculture and rural development, which is not related to fisheries or marine resource management.",Maybe,"The abstract mentions community-based natural resource management, but it is not clear if it meets the specific definition of community-based management given in the SC."," Maybe; The abstract mentions community-based natural resource management, but it is not clear if it meets the specific definition of community-based management given in the SC.
ReflectionThe abstract mentions community-based natural resource management, which is a broad term that can include community-based management as defined in the SC. However, it is not clear whether the community-based organic agriculture programme mentioned in the abstract meets the specific criteria of community-based management as defined in the SC.",No,The paper does not meet the screening criteria as it does not provide information on the benefits or barriers to CBFM.," No; The Title and Abstract do not provide information on the benefits or barriers to CBFM.
ReflectionThe Title and Abstract only mention community-based organic agriculture and its potential benefits to rural development. There is no mention of CBFM or any barriers to its implementation.",,,
60,Empowerment and institutions: Managing fisheries in Uganda,"The perception of communities as homogeneous and concern over representation and accountability of structures are key critiques of community-based natural resource management (CBNRM). A focus on understanding institutions that mediate access to, and control over, natural resources is seen as a way forward to improving management regimes that include local people. Experience in the implementation of integrated lake management in Uganda is drawn on to understand how institutions can be challenged to improve access to fisheries for marginalized stakeholders. Processes such as empowerment and the formation of accountable and representative structures are part of the way forward. © 2006 Elsevier Ltd. All rights reserved.",No,No,The paper does not meet the SC as it does not include a case study of CBFM in a Pacific Island country.," No; The paper is about managing fisheries in Uganda, a landlocked country in East Africa.

ReflectionThe SC specifically asks for a case study of CBFM in a Pacific Island country, which is not mentioned in the title or abstract. Additionally, the paper focuses on fisheries management in Uganda, which is not a Pacific Island country.",Yes,"While the study may have a broader focus on integrated lake management, it still includes a significant focus on improving fisheries management and therefore meets the screening criteria."," Maybe; The abstract mentions fisheries management in Uganda, but it's not clear whether it is the main focus of the study or if it is just a small part of a broader marine resource management study. 

ReflectionThe abstract mentions ""integrated lake management"" in Uganda, which could suggest a broader focus on managing all aspects of the lake ecosystem, not just fisheries. However, the abstract also specifically mentions ""improving access to fisheries for marginalized stakeholders"" and discusses the role of institutions in fisheries management.",Yes,"While the paper does not use the specific term ""community-based management,"" it does discuss the importance of empowering communities and forming accountable and representative structures as part of improving management regimes that include local people, which aligns with the SC's definition of community-based management."," Maybe; The paper mentions community-based natural resource management (CBNRM) and integrated lake management in Uganda, but it is unclear whether these approaches meet the definition of community-based management provided in the SC.
ReflectionThe paper discusses the importance of understanding institutions that mediate access to and control over natural resources, and specifically mentions ""empowerment and the formation of accountable and representative structures"" as part of the way forward for improving management regimes that include local people. While the paper does not use the specific term ""community-based management,"" it does seem to align with the SC's definition of an approach that gives coastal communities and fishers primary responsibility for managing their coastal resources.",Maybe,"The paper does not explicitly mention CBFM but discusses community-based natural resource management, which is related to CBFM. The examination of institutions that mediate access and control over natural resources could potentially include CBFM, so further evaluation is necessary."," No; The paper does not mention CBFM or any related terms.
ReflectionThe paper does not mention CBFM or related terms. However, it does discuss community-based natural resource management, which is a concept related to CBFM. The paper examines the institutions that mediate access to and control over natural resources, which could potentially include CBFM.",,,
