,Title,Abstract,Accept,Accept - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Rationale - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Thoughts - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Accept - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,Rationale - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,Thoughts - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,"Accept - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Rationale - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Thoughts - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Accept - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.","Rationale - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.","Thoughts - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.",Bad Parsing - SC2,Bad Parsing - SC3
43,"Community‐based Fisheries Management, Tradition and the Challenges of Development in Marovo, Solomon Islands","This study examines traditional fisheries‐related resource management through a case in which local communities, from a basis of customary, ‘common property’ control over the sea and its resources, handle a multitude of development issues. Presenting first some important issues relating to people's role in fisheries management and to the ‘common property’ debate, the article then describes a traditional system for management of land and sea resources in a Pacific Islands society; that of Marovo Lagoon, Solomon Islands. Emphasis is given to fisheries resources, with a view to explaining in practical terms how a system of customary marine tenure operates under the wider social, political, economic and ecological circumstances of change arising from development pressures. Against this background, assessments are made of the viability of this traditional fisheries management system under present conditions of state control and of both external and internal pressures for large‐scale resource development enterprises. © 1994 Institute of Social Studies",Yes,Maybe,"Without access to the full article, it is difficult to determine whether the study includes a specific case study of CBFM in a Pacific Island country."," Maybe; The abstract mentions a traditional system for management of land and sea resources in a Pacific Island society, but it is unclear if it specifically includes Community-based Fisheries Management (CBFM).
ReflectionThe abstract mentions a traditional system for managing fisheries resources in the Marovo Lagoon of Solomon Islands. It is possible that this traditional system includes elements of CBFM, but it is not clear from the abstract alone.",Yes,"While the study may touch on broader marine resource management issues, it still includes a focus on fisheries management. The emphasis on fisheries resources in the abstract suggests that it is a significant aspect of the study."," Maybe; The abstract mentions a traditional system for management of land and sea resources specifically in the context of fisheries, but it's unclear if the study itself only focuses on fisheries management. 

ReflectionThe abstract mentions both fisheries and land management, which suggest a broader focus on marine resource management. However, the emphasis is given to fisheries resources, which could indicate a more specific focus on fisheries management.",Maybe,The abstract does not provide enough information to determine whether the study meets the screening criteria for community-based management.," Maybe; The abstract mentions a traditional system for management of land and sea resources in a Pacific Islands society. However, it is unclear whether it is community-based or government-based management.

ReflectionThe abstract mentions a traditional system of fisheries-related resource management in a Pacific Islands society, but it does not explicitly state whether it is community-based or government-based management.",Maybe,"While the abstract does not mention CBFM specifically, the paper may still contain information on the benefits or barriers to CBFM within the context of traditional fisheries management in Marovo Lagoon. Further information is needed to make a definitive decision on whether to accept the paper."," Maybe; The abstract mentions examining traditional fisheries-related resource management and the challenges of development, but it is unclear if there will be information on the benefits of CBFM or barriers to CBFM.
ReflectionThe abstract focuses on traditional fisheries management and its viability under present conditions, but it does not explicitly mention CBFM. It is possible that the paper may touch on CBFM, but it is not certain based on the abstract alone.",,
44,"Management of traditional common fishing grounds: The experience of the para community, indonesia","The experience of the Para fishing community in managing its traditional fishing commons is explored. The concepts, methods, challenges to survive, and transformations in the direction of traditional community-based management in coastal fisheries are documented. Some lessons can be extracted from the Para experience that may be useful as an additional perspective in governing new management regimes for sustainable use of fishing commons. Evidence at Para shows that the fishers themselves founded the basis of management, erected an effective organization, constructed the equity share principle, invented and enforced regulations, and meted out the punishments. The delegation of authority in the local community to establish their sea tenure system is considered as a pivotal element in the management of communal property resources. © 1996 Taylor & Francis.",No,No,The abstract does not meet the SC because it does not include a case study of CBFM in a Pacific Island country.," No; The abstract mentions an experience of the Para fishing community in Indonesia, which is not a Pacific Island country.
ReflectionThe SC requires a case study of CBFM in a Pacific Island country, but the abstract mentions a case study of traditional community-based management in Indonesia.",Yes,"The paper focuses on the management of traditional fishing commons by a fishing community, including methods, challenges, and transformations towards community-based management in coastal fisheries, which meets the screening criteria for fisheries-related examples."," Maybe; The title and abstract mention traditional fishing commons and coastal fisheries, but it is not clear if the paper focuses solely on fisheries management.

ReflectionThe paper focuses on the management of traditional fishing commons by a fishing community, which includes methods, challenges, and transformations towards community-based management in coastal fisheries. While the paper does not explicitly state it focuses solely on fisheries management, the community's management of fishing commons is the main focus.",Yes,The abstract clearly refers to community-based management and meets the SC criteria.," Yes; The abstract states that the experience of the Para fishing community in managing its traditional fishing commons is explored, which indicates a community-based management approach.
ReflectionThe abstract refers to ""traditional community-based management,"" which aligns with the SC definition of community-based management.",No,"The paper does not meet the screening criteria as it does not mention CBFM, benefits or barriers."," No; The paper does not mention CBFM, benefits or barriers.
ReflectionThe paper only talks about traditional fishing commons and community-based management in coastal fisheries. It does not mention CBFM, benefits or barriers.",,
45,Evaluation of the Impact of a Pharmacist-Led Telehealth Clinic on Diabetes-Related Goals of Therapy in a Veteran Population,"Objectives Telemedicine has been offered as a way to ensure that all patients, including those who live in rural areas, have access to the same health care. This study was performed to evaluate the benefit of a real-time, clinic-based video telehealth (Clinical Video Telehealth [CVT]) program and the impact of a pharmacist-led CVT clinic for chronic disease state management. The primary objective was to evaluate changes from baseline values, in veterans referred by primary care providers to this clinic. Methods This was a single-center, prospective, pre-post pilot study that also included a post-patient satisfaction survey. The study was conducted at the Tennessee Valley Healthcare System, which is composed of two medical centers and 12 community-based outpatient clinics (CBOCs) located away from the two main facilities. Fifteen clinical pharmacy specialists (CPSs) - seven at the two main facilities and eight at the CBOCs - provide disease state management clinical pharmacy services. One of the seven CPSs at the main facilities works via telemedicine and provides services to the CBOCs where on-site clinical pharmacy services did not exist. The primary outcomes were changes from baseline in A1C, LDL level, systolic blood pressure, and diastolic blood pressure after 6 months of CVT services by the CPS. Secondary outcomes were the percentages of patients meeting American Diabetes Association treatment goals for hemoglobin A1c (A1C), low-density lipoprotein level, and blood pressure, both individually and in combination after attending a pharmacist-led CVT program; the level of patient satisfaction with pharmacists' care and with CVT as a method of receiving chronic disease management, specifically for diabetes; and medication additions or changes made by the pharmacist. Results Twenty-six patients completed the 6-month evaluation. A significant decrease in A1C of 2% from baseline was observed (p=0.0002), and the percentage of patients meeting goal A1C significantly increased from 0% at baseline to 38% at 6 months (p=0.0007). Overall patient satisfaction scores were also high, with a median score 39.5 (interquartile range 36-40) of a maximum score of 40. Conclusion Six months of CVT clinic attendance significantly improved A1C values and the overall percentage of patients meeting their goal A1C values in this veteran population. In addition, patient satisfaction scores also indicated a high level of satisfaction with the pharmacist-led CVT service. © Published 2016. This article is a U.S. Government work and is in the public domain in the USA.",No,No,The study does not meet the SC as it does not include any case study from a Pacific Island country.," No; The study does not mention any Pacific Island country.
ReflectionThe study does not meet the SC, as it does not include any case study from a Pacific Island country.",No,The paper does not meet the screening criteria as it has no mention of fisheries or marine resource management.," No; There is no mention of fisheries or marine resource management in the title and abstract.
ReflectionThe title and abstract are focused on telemedicine and chronic disease management. There is no mention of fisheries or marine resource management.",No,The study does not meet the screening criteria for community-based management as it does not focus on coastal communities and fishers.," No; The title and abstract do not mention community-based management or any related terms.
ReflectionThe study does not fit the definition of community-based management as it focuses on telehealth and pharmacist-led clinics rather than giving primary responsibility to coastal communities and fishers.",No,The paper does not meet the screening criteria as it does not mention CBFM.," No; There is no mention of CBFM (Community Based Fertility Management) in the title or abstract.
ReflectionThe paper does not meet the screening criteria as it does not mention CBFM.",,
46,Modeling short-term fishing dynamics in a small-scale intertidal shellfishery,"We assessed the relative contribution of a set of predictors on the short-term dynamics of the yellow clam intertidal fishery in Uruguay based on a community-based data collection program for five consecutive fishing seasons. Results of generalized linear mixed models showed that the occurrence of fishable days depends on the absence of red tide events and prevailing wind conditions, but also was related to the timing of each fishing event throughout the fishing season. Furthermore, higher fishing yields were coincident with the prevalence of northerly offshore winds. Catch per unit of effort levels of each fishing event were mostly related to interannual characteristics of each fishing season and, to a lesser extent, with fisher attributes (gender and age) and the timing of each fishing event. The adverse effect of red tides and unfavorable environmental conditions impose a high degree of uncertainty in this social-ecological system, leading to economic inefficiency. A key challenge for successful management of the yellow clam fishery and other similar small-scale fisheries relies in considering not only the resource and the governance subsystems, but also the dynamics of the resource users, together with relevant external drivers affecting them. © 2018 Elsevier B.V.",No,No,The paper does not meet the SC because it does not include a case study of CBFM in a Pacific Island country.," No; The paper does not mention any Pacific Island country.

ReflectionThe SC requires that the study includes a case study of CBFM in a Pacific Island country, which is not mentioned in the title or abstract.",Maybe,"The abstract mentions a potential fishery for yellow clam, but it is not clear whether the study is focused on fishing for yellow clam or if it is broader marine resource management with a focus on fishing for yellow clam."," Maybe; The abstract mentions a shellfishery, but it is not clear if it is a fishery or if it is broader marine resource management.

ReflectionThe abstract mentions a yellow clam intertidal fishery, but it does not specifically mention fishing for yellow clam. It is not clear whether this study is focused on fishing for yellow clam or if it is broader marine resource management.",Maybe,The abstract does not provide enough information to definitively determine if the study meets the criteria of community-based management as defined in the SC.," Maybe; The abstract does not provide enough information to determine if the study is community-based or not.
ReflectionThe abstract does not explicitly mention community-based management, but it does mention a ""community-based data collection program"" which suggests that the study may have involved community participation in data collection. However, without more information it is difficult to determine if the study meets the criteria of community-based management as defined in the SC.",No,The paper does not meet the screening criteria as it does not contain any information on the benefits or barriers to CBFM.," No; The title and abstract do not mention CBFM or any related keywords.
ReflectionThe title and abstract describe a study on fishing dynamics in an intertidal shellfishery, with no clear indication of any relevance to CBFM.",,
47,Long-Term Stability of the Faunal Community of a Subtropical Estuary: Evaluating Disturbances in the Context of Interannual Variability,"Estuarine and coastal marine ecosystems can have significant intra- and interannual variability in faunal community structure, complicating management response to disturbances as disturbance effects must be detectable within normal variability and on timescales relevant to management entities. We examined a long-term, multi-gear dataset on estuarine faunal (fish and select invertebrate) communities to determine if community structure changes due to disturbances could be detected on management-relevant timescales (e.g., years), given that these communities have known seasonal and interannual variability. Results from multivariate, community-based analyses, and several univariate diversity indices for fauna of Tampa Bay, Florida, USA suggested general community stability over the long term, with the exceptions of 2005–2006 (prolonged red tide event) and 2010 (extreme cold event in winter). Community structure was notably outside the typical variability for both time periods. In 2005, species richness decreased by half for one gear type and was the lowest on record for the other two gear types. In 2010, when the relative abundance of a top predator decreased by 50% from cold-related mortality, Simpson’s diversity index was the lowest on record for one gear type. The red tide and extreme-cold events differed in duration and the number of taxa directly impacted (multispecies vs. single-species, respectively) but both multivariate and univariate analyses indicated significant deviation in the faunal community structure during these years. Within 1–3 years after these major events, however, the community seemed to have returned to a structure like that of previous years, suggesting long-term stability and resilience. Our results confirm that multivariate and univariate analyses can detect major disturbances to estuarine faunal communities, which gives management entities options for which analysis approach is appropriate for their needs. Since the Tampa Bay faunal communities recovered within 3 years, we suggest that where long-term monitoring exists, active restoration might be deferred while monitoring for signs of recovery following the removal of a perturbation. This is a fundamental part of sound adaptive management processes to promote sustainable ecosystems. © 2020, Coastal and Estuarine Research Federation.",No,No,The paper does not meet the screening criteria as it does not include a case study of CBFM in a Pacific Island country.," No; The paper does not mention Pacific Island countries or CBFM.
ReflectionThe paper is focused on the stability of estuarine faunal communities in Tampa Bay, Florida, USA. There is no mention of CBFM or Pacific Island countries.",Maybe,"The abstract mentions fish and select invertebrates, indicating a potential focus on fisheries management, but it is not explicitly stated."," Maybe; The abstract mentions fish and select invertebrates, but it is not clear whether the focus is on fisheries management specifically.
ReflectionThe abstract discusses the stability of faunal communities in a subtropical estuary, but does not explicitly mention fisheries management. However, the mention of fish and select invertebrates suggests that fisheries may be a component of the study.",Maybe,The abstract does not provide enough information to determine if the study is related to community-based management.," Maybe; The abstract does not mention anything about community-based management. 
ReflectionThe SC requires studies related to community-based management, but the abstract does not mention anything about it. Therefore, it is difficult to determine if the study is related to community-based management.",No,The paper does not meet the screening criteria as it does not contain information on the benefits of CBFM or barriers to CBFM.," No; The paper does not meet the screening criteria as it does not contain information on the benefits of CBFM or barriers to CBFM.
ReflectionThe paper is focused on studying the long-term stability of the faunal community of a subtropical estuary, and does not discuss CBFM.",,
48,Exclusive economic zones and the management of fisheries in the South China Sea,"The 1982 United Nations Convention on the Law of the Sea (LOSC), with the provisions for defining an Exclusive Economic Zone (EEZ), is the international agreement that has had the greatest influence on the structure of fisheries policies in national and international arenas. It had the profound effect of increasing the contribution of fisheries to the national gross domestic product or GDP. It brought about a redistribution of benefits from fishing from distant water fishing fleets to the coastal states. Investments flowed in to the fisheries sector. Countries that had fisheries resources but limited capacity to exploit them established joint ventures with states that owned fishing fleets (ADB, 1997). The end result was a substantial increase in the contribution of fisheries to the national GDP especially in developing countries and the overall shift in total capture fisheries production from the developed to the developing world (Delgado et al., 2003). The LOSC and the EEZ are strongly associated with ownership and the implication that fisheries will be better managed within some property rights regime. These concepts were modified by coastal states to apply to fisheries management policies at the scale of local governments and even communities. Shortly after the Third United Nations Conference on the Law of the Sea ended in 1982, community-based initiatives to define fishing rights and effectively manage fisheries proliferated. There was a stronger effort to move national policy toward devolution of fisheries management to local government units and encourage co-management and stakeholder participation in the management of coastal resources. There were several efforts to develop Integrated Coastal Zone Management (ICZM) Plans and establish Community Based Coastal Resource Management (CBCRM) strategies in the Philippines first, and later in Indonesia, Thailand, Malaysia and Vietnam. In this paper, we present case studies where there is a poor institutional fit between the EEZs of coastal states and the natural structure of fisheries resources. This has led to the formulation of inadequate fisheries policies, difficulties in monitoring and controlling the overexploitation of fish stocks, and a massive degradation of fish habi tats vital to the survival and sustainability of stocks. In the first two decades of the LOSC, states have focused on implementing Articles 55-56 and 61-62, which detailed their jurisdiction and right to exploit resources optimally. In this next decade of implementing the LOSC, states will need to consider the provisions for transboundary cooperation detailed in Articles 63 to 67 of Part V of the LOSC. We highlight the importance of knowledge of institutional interplay in fisheries management at the local, sub-national, national and regional scales, and how this relates to the structure of fish stocks and national jurisdiction. We also suggest some research priorities and institutional adjustments required to increase the chances of devising a successful fisheries policy, embody a broader regional perspective of the needs and aspirations of fisheries, as well as national goals. The case studies presented are derived from the experiences of coastal states that border the South China Sea. © 2005 Springer. All Rights Reserved.",No,No,The abstract does not include any case studies of CBFM in Pacific Island countries.," No; The abstract does not mention any case studies of CBFM in Pacific Island countries.
ReflectionThe abstract discusses the influence of the United Nations Convention on the Law of the Sea on fisheries policies and management. While it mentions the implementation of policies at the local and regional scales, it does not specifically mention any case studies of CBFM in Pacific Island countries.",Yes,The paper focuses on fisheries management in the South China Sea and includes some references to broader marine resource management in the context of fisheries management.," Yes; The paper discusses the management of fisheries in the South China Sea.
ReflectionThe paper discusses the management of fisheries in the South China Sea, which is a specific example of fisheries management. It also references broader marine resource management, but only in the context of how it relates to fisheries management.",Maybe,"The abstract mentions community-based initiatives and management, but also mentions co-management and stakeholder participation, which may or may not include government involvement, making it unclear if the paper meets the SC."," Maybe; The abstract mentions community-based initiatives and community-based coastal resource management, but it also mentions co-management and stakeholder participation, which may include government involvement.
ReflectionThe abstract mentions both community-based management and co-management, which could potentially include government involvement, but the SC specifically excludes government-based management. However, the definition of community-based management used in the SC does mention that it can include community-led approaches, which could include co-management.",No,The paper does not meet the screening criteria as it does not contain any information on the benefits or barriers to CBFM.," No; The title and abstract do not mention CBFM at all.
ReflectionThe title and abstract focus on the impact of the United Nations Convention on the Law of the Sea on fisheries policies in the South China Sea. There is no mention of CBFM.",,
49,Social dimensions of local fisheries co-management in the Coral Triangle,"SUMMARY The challenge to manage coastal resources within Asia-Pacific's Coral Triangle has gained global attention. Co-management is promoted as a key strategy to address this challenge. Contemporary community-based co-management often leads to 'hybridization' between local (customary) practices, and science-based management and conservation. However, the form of this hybrid has rarely been critically analysed. This paper presents examples of co-management practices in eastern Indonesia and Solomon Islands, focusing in particular on area closures. In contrast to the temporary closures used before the influx of sustainability discourses, contemporary closures are periodically-harvested but predominantly closed, reflecting attempts to reduce fishing effort and enhance ecological sustainability. When areas are opened, harvests are relatively short and largely triggered by the social and economic needs of particular individuals or whole communities. In all cases, engagement with environmental management interventions has led to more formalized access and use arrangements. The harvesting and management practices observed are influenced by these relatively recent interventions designed to promote sustainability, but also by religious institutions, increasing resource demand, and modernization. This study unpacks some of the contemporary influences, particularly environmental sustainability initiatives, on local management practices, and provides insights for co-management in practice. Copyright © Foundation for Environmental Conservation 2015.",No,No,The abstract does not meet the screening criteria as it does not include any specific case study of CBFM in a Pacific Island country.," No; The abstract does not mention any specific case study of CBFM in a Pacific Island country.
ReflectionThe abstract discusses co-management practices in eastern Indonesia and Solomon Islands and their influences on local management practices. However, it does not specify any case study of CBFM in a Pacific Island country.",Yes,"The paper focuses on co-management practices in fisheries, specifically area closures to reduce fishing effort and enhance ecological sustainability."," Maybe; The abstract mentions fishing effort and ecological sustainability, but it is not clear if the paper is solely focused on fisheries management. 

ReflectionThe abstract mentions co-management practices and environmental management interventions, which could be broader than just fisheries management. However, the focus on area closures and reducing fishing effort suggests that fisheries management is a significant aspect of the paper.",Maybe,"The paper mentions co-management as a key strategy, but it is unclear whether this approach involves equal power between government and community to manage the resources."," Maybe; The abstract mentions co-management as a key strategy.
ReflectionThe authors use the term ""co-management"" but do not provide a clear definition of what it entails. The abstract suggests that contemporary community-based co-management involves a hybrid of local practices and science-based management and conservation. However, it is unclear whether this hybrid approach involves equal power between government and community to manage the resources.",No,The paper does not meet the SC because it does not contain sufficient information on either the benefits or barriers to CBFM.," Maybe; The abstract mentions contemporary closures that reflect attempts to reduce fishing effort and enhance ecological sustainability, but the paper does not focus solely on the benefits or barriers to CBFM. 
ReflectionThe SC states that the paper should contain information on either the benefits of CBFM or barriers to CBFM, but the abstract only mentions contemporary closures as a strategy to enhance ecological sustainability. The paper explores the influences on local management practices, but it is not clear whether it discusses benefits or barriers to CBFM.",,
50,Facing limits in oceanic fisheries: Part I: Extent of the problem and policy responses,"Research from the Food and Agriculture Organization of the United Nations (FAO) and fishery scientists indicates that the wild catch offish and other marine life from the oceans will not be able to increase significantly in the future, except through rehabilitation and better management of stocks. Despite the limited potential for bigger catches, fishing fleets have expanded rapidly in recent decades under government subsidies. Fishers now have approximately twice the capacity necessary to make the annual catch from the oceans. The juxtaposition of natural limits and overinvestment has created a crisis situation for the world's fishers, fishing communities and traditional fishing cultures. Part I of this article discusses policy responses at the national and international level. How policy makers respond to the overextension of the marine fishing industry will determine the extent of job loss, hunger and dislocation that will result. Part II, to be published in the Forum's next issue (February 1995), will examine the social aspects of the world's fishing industry, including the demography of fishers, utilization of fisheries products, the relative social contribution of aquaculture and policy responses to overcapacity. Policy makers could enhance the social benefits of marine fisheries — both jobs and food — through a combination of government oversight and community based management. 1994 United Nations",No,No,The paper does not meet the screening criteria as it does not include any case study of CBFM in a Pacific Island country.," No; The title and abstract do not mention any case study of CBFM in a Pacific Island country.
ReflectionThe title and abstract focus on the global issue of overfishing and policy responses, and do not indicate any specific case studies in Pacific Island countries related to CBFM.",Maybe,"The abstract mentions fisheries and fishing fleets, which indicates a focus on fisheries management, but also discusses broader marine resource management, which may or may not meet the screening criteria depending on the extent of the focus on fisheries management in the full paper."," Maybe; The abstract mentions fisheries and fishing fleets, but it also discusses broader marine resource management.

ReflectionThe abstract mentions that the wild catch of fish and other marine life will not increase significantly in the future, except through better management of stocks, which indicates a focus on fisheries management. However, the abstract also discusses the overextension of the marine fishing industry and the potential for job loss and hunger, which suggests a broader focus on marine resource management.",No,The abstract does not meet the screening criteria as it does not focus on community-based management.," No; The abstract discusses policy responses at the national and international level and does not mention community-based management.
ReflectionThe abstract talks about policy responses, but does not specify if those responses are community-based or not.",No,"The paper does not contain any information on the benefits of CBFM, or barriers to CBFM."," No; The paper is discussing the overfishing problem in oceanic fisheries, and does not mention CBFM (Community-Based Fisheries Management) at all.
ReflectionThe paper is completely unrelated to CBFM, and does not meet the screening criteria.",,
51,Madagascar Fish Eagle productivity in the Tsimembo-Manambolomaty Protected Area and surrounding habitat of western Madagascar,"We monitored the productivity of the critically endangered Madagascar Fish Eagle Haliaeetus vociferoides inside and outside of the Tsimembo-Manambolomaty Protected Area (T-M PA), western Madagascar from 2010 to 2015. We recorded 14 breeding pairs inside and 13 outside T-M PA. The T-M PA and surrounding habitat hosted respectively 10 and six breeding polyandrous pairs, composed of one adult female and two adult males. During the six-year study period, 101 eggs were laid in nests in T-M PA of which 60 hatched and 58 young fledged. We recorded 62 eggs laid in nests outside the T-M PA of which 39 hatched and 36 young fledged. Productivity was similar at both sites, inside and outside T-M PA, with 0.84 (58/69) and 0.76 (36/47) fledgling per nesting attempt and 0.69 (58/84) and 0.5 (36/72) fledglings per territorial pair, respectively. Polyandrous pairs have higher productivity compared with normal pairs. Threats to Madagascar Fish Eagles and their habitat were low due to the existence of a community-based resource management system called the Local Management Secured System (GELOSE) inside and outside the T-M PA. This system is based on strengthening local traditional customs and rules, and involving local people in managing their natural resources sustainably along with biodiversity conservation. © 2018 NISC (Pty) Ltd.",No,No,"The study does not meet the SC because it focuses on Madagascar, which is not a Pacific Island country."," No; The title and abstract focus on Madagascar, which is not a Pacific Island country.
ReflectionThe SC requires that the study must be conducted in a Pacific Island country, but the title and abstract mention Madagascar, which is not in the Pacific Island region.",Maybe,"The paper does not focus on fisheries management but discusses a community-based resource management system that involves local people in managing their natural resources sustainably, which may include fisheries management."," No; The paper does not focus on fisheries management but rather on the productivity of the Madagascar Fish Eagle.

ReflectionThe paper does not meet the SC as it does not focus on fisheries management. However, the paper does discuss a community-based resource management system that involves local people in managing their natural resources sustainably.",Maybe,"The paper mentions a community-based resource management system, but it's not clear if it meets the definition of community-based management provided in the Screening Criteria."," Maybe; The abstract mentions a community-based resource management system, but it's not clear if it fits the definition provided in the Screening Criteria.
ReflectionThe abstract mentions a community-based resource management system called the Local Management Secured System (GELOSE), which involves local people in managing their natural resources sustainably. However, it's not clear if this system gives primary responsibility to coastal communities and fishers for managing their coastal resources, which is the definition of community-based management used in the Screening Criteria.",No,"While the abstract contains information about the productivity of Madagascar Fish Eagles, it does not meet the screening criteria as it does not provide any information about the benefits or barriers of CBFM."," Maybe; The abstract contains information about the productivity of Madagascar Fish Eagles, but it does not mention anything about the benefits or barriers of community-based fishery management (CBFM).
ReflectionThe study does not explicitly focus on CBFM or mention it at all, but it is possible that the community-based resource management system (GELOSE) mentioned in the abstract is related to CBFM. However, this is not clear from the information provided in the abstract.",,
52,Hidden benefits and risks of partial protection for coral reef fisheries,"Partially protected areas are now the dominant global form of spatial management aimed at preserving ecosystem integrity and managing human use. However, most evaluations of their efficacy use only a narrow set of conservation indicators that reflect a fraction of ways in which protection can succeed or fail. In this paper, we examine three case studies of partially protected coral reef fishery systems to evaluate benefits and risks of their use as a management tool. We use data from community-based management arrangements in three Pacific Island countries to demonstrate three vignettes of how partial protection can boost fisheries production, enhance the ease with which fishers catch their prey, and alter the composition of fisheries yields. These changes in fisheries productivity, catchability, and vulnerability under partial protection carry substantial benefits for fishers. However, they also carry significant risks for ecosystems and fisheries livelihoods unless adaptively managed so as to confer the short to medium term benefits in resource performance without risking longer term sustainability. © 2022 by the author(s). Published here under license by the Resilience Alliance.",Yes,Maybe,"While the abstract mentions community-based management arrangements in three Pacific Island countries, it is unclear if these arrangements specifically involve CBFM. Further information is needed on the specific management arrangements used in the case studies."," Maybe; The abstract mentions three case studies of partially protected coral reef fishery systems in three Pacific Island countries, but it is unclear if any of them specifically involve CBFM.

ReflectionCBFM (Community-Based Fisheries Management) involves the participation of local communities in the management of fisheries resources. While the abstract mentions community-based management arrangements in three Pacific Island countries, it is unclear if these arrangements specifically involve CBFM.",Yes,The paper's focus on partially protected coral reef fishery systems and evaluation of their benefits and risks as a management tool aligns with the screening criteria for studies with fisheries related examples.," Yes; The paper's title and abstract specifically mention coral reef fisheries and how partial protection can boost fisheries production.

ReflectionThe paper focuses on partially protected coral reef fishery systems and evaluates their benefits and risks as a management tool. Although the abstract does not explicitly mention ""fisheries management,"" it discusses how partial protection can enhance fisheries productivity, catchability, and vulnerability, which are all key aspects of fisheries management.",Maybe,"The abstract mentions community-based management arrangements, but it is not clear whether the management is entirely community-led or involves co-management with the government. Further clarification is needed."," Maybe; The abstract mentions community-based management arrangements, but it is not clear whether the management is entirely community-led or involves co-management with the government. 

ReflectionThe abstract mentions community-based management arrangements, but it is not clear whether it meets the definition of community-based management provided in the screening criteria. Furthermore, the abstract mentions that the management arrangement involves adaptively managed partial protection, but it is not clear who is responsible for the adaptive management.",Maybe,"While the paper does not seem to be directly related to CBFM, it does address a form of spatial management that may have some relevance to CBFM. It is possible that the paper contains information on barriers to CBFM."," No; The paper does not seem to be related to CBFM in any way.
ReflectionThe paper does not seem to be directly related to CBFM, but it does discuss the benefits and risks of a form of spatial management aimed at preserving ecosystem integrity and managing human use. It is possible that the paper may contain information on barriers to CBFM.",,
