,Title,Abstract,Accept,Accept - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Rationale - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Thoughts - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Accept - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,Rationale - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,Thoughts - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,"Accept - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Rationale - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Thoughts - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Accept - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.","Rationale - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.","Thoughts - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.",Bad Parsing - SC1
50,Facing limits in oceanic fisheries: Part I: Extent of the problem and policy responses,"Research from the Food and Agriculture Organization of the United Nations (FAO) and fishery scientists indicates that the wild catch offish and other marine life from the oceans will not be able to increase significantly in the future, except through rehabilitation and better management of stocks. Despite the limited potential for bigger catches, fishing fleets have expanded rapidly in recent decades under government subsidies. Fishers now have approximately twice the capacity necessary to make the annual catch from the oceans. The juxtaposition of natural limits and overinvestment has created a crisis situation for the world's fishers, fishing communities and traditional fishing cultures. Part I of this article discusses policy responses at the national and international level. How policy makers respond to the overextension of the marine fishing industry will determine the extent of job loss, hunger and dislocation that will result. Part II, to be published in the Forum's next issue (February 1995), will examine the social aspects of the world's fishing industry, including the demography of fishers, utilization of fisheries products, the relative social contribution of aquaculture and policy responses to overcapacity. Policy makers could enhance the social benefits of marine fisheries — both jobs and food — through a combination of government oversight and community based management. 1994 United Nations",No,No,The paper does not meet the screening criteria as it does not include any case study of CBFM in a Pacific Island country.," No; The Title and Abstract do not mention any case study of CBFM in a Pacific Island country.
ReflectionThe Title and Abstract primarily focus on the challenges of overfishing in oceanic fisheries and the need for policy responses. There is no mention of any specific Pacific Island country or CBFM.",Yes,"While the abstract does mention broader marine resource management, it still focuses on the issue of overfishing and better management of fisheries stocks."," Maybe; The abstract mentions fisheries, but it also talks about broader marine resource management.

ReflectionThe abstract discusses the issue of overfishing and the need for better management of stocks, which is relevant to fisheries management. However, it also mentions the broader marine resource management context and policy responses at national and international levels.",Maybe,"While the abstract does mention community-based management as a possible policy response, it is unclear whether the paper meets the screening criteria as it does not provide a clear focus on this approach."," Maybe; The abstract mentions government oversight and community-based management as possible policy responses to overcapacity in the fishing industry.
ReflectionThe abstract does mention community-based management, but it is unclear whether this approach is the primary focus of the paper or simply one of several policy responses being discussed.",No,There is no mention of CBFM or related terms in the title and abstract.," No; The title and abstract do not mention CBFM or any related terms.
ReflectionThe screening criteria requires that the paper should contain either information on the benefits of CBFM or barriers to CBFM. The title and abstract do not mention CBFM or any related terms.",
51,Madagascar Fish Eagle productivity in the Tsimembo-Manambolomaty Protected Area and surrounding habitat of western Madagascar,"We monitored the productivity of the critically endangered Madagascar Fish Eagle Haliaeetus vociferoides inside and outside of the Tsimembo-Manambolomaty Protected Area (T-M PA), western Madagascar from 2010 to 2015. We recorded 14 breeding pairs inside and 13 outside T-M PA. The T-M PA and surrounding habitat hosted respectively 10 and six breeding polyandrous pairs, composed of one adult female and two adult males. During the six-year study period, 101 eggs were laid in nests in T-M PA of which 60 hatched and 58 young fledged. We recorded 62 eggs laid in nests outside the T-M PA of which 39 hatched and 36 young fledged. Productivity was similar at both sites, inside and outside T-M PA, with 0.84 (58/69) and 0.76 (36/47) fledgling per nesting attempt and 0.69 (58/84) and 0.5 (36/72) fledglings per territorial pair, respectively. Polyandrous pairs have higher productivity compared with normal pairs. Threats to Madagascar Fish Eagles and their habitat were low due to the existence of a community-based resource management system called the Local Management Secured System (GELOSE) inside and outside the T-M PA. This system is based on strengthening local traditional customs and rules, and involving local people in managing their natural resources sustainably along with biodiversity conservation. © 2018 NISC (Pty) Ltd.",No,No,The study does not include a case study of CBFM in a Pacific Island country.," No; The study is about the Madagascar Fish Eagle in Madagascar, not a Pacific Island country.
ReflectionThe study is not focused on Pacific Island countries, but rather on Madagascar. Therefore, it does not meet the screening criteria.",Maybe,"While the paper does not directly focus on fisheries management, it does mention a community-based resource management system that could potentially include fisheries management."," No; The paper is focused on monitoring the productivity of the Madagascar Fish Eagle, which is not directly related to fisheries management.
ReflectionThe paper does not discuss fisheries management, but it does mention a community-based resource management system that involves local people in managing their natural resources sustainably. This could potentially include fisheries management.",No,"While the authors mention a community-based resource management system, it is not referred to as community-based management or community-based fisheries management (CBM/CBFM) as defined in the SC."," Maybe; The abstract mentions the existence of a community-based resource management system, but it is not clear if it meets the definition of community-based management provided in the SC.
ReflectionThe authors mention the Local Management Secured System (GELOSE), which is a community-based resource management system. However, it is not explicitly referred to as community-based management or community-based fisheries management (CBM/CBFM) as defined in the SC. Therefore, it is unclear if it meets the criteria.",No,The paper does not meet the screening criteria as it does not provide any information on CBFM or its barriers.," No; The paper does not mention anything about CBFM or any barriers to CBFM.
ReflectionThe paper focuses on the productivity of the Madagascar Fish Eagle in a protected area in Madagascar and does not mention anything related to CBFM or its barriers.",
52,Hidden benefits and risks of partial protection for coral reef fisheries,"Partially protected areas are now the dominant global form of spatial management aimed at preserving ecosystem integrity and managing human use. However, most evaluations of their efficacy use only a narrow set of conservation indicators that reflect a fraction of ways in which protection can succeed or fail. In this paper, we examine three case studies of partially protected coral reef fishery systems to evaluate benefits and risks of their use as a management tool. We use data from community-based management arrangements in three Pacific Island countries to demonstrate three vignettes of how partial protection can boost fisheries production, enhance the ease with which fishers catch their prey, and alter the composition of fisheries yields. These changes in fisheries productivity, catchability, and vulnerability under partial protection carry substantial benefits for fishers. However, they also carry significant risks for ecosystems and fisheries livelihoods unless adaptively managed so as to confer the short to medium term benefits in resource performance without risking longer term sustainability. © 2022 by the author(s). Published here under license by the Resilience Alliance.",No,No,The abstract does not provide evidence that the study includes at least one case study of CBFM in a Pacific Island country.," Maybe; The abstract mentions three case studies of partially protected coral reef fishery systems in three Pacific Island countries, but it is not clear whether any of them involve CBFM.
ReflectionThe SC requires that at least one case study involves CBFM in a Pacific Island country. It is unclear from the abstract whether any of the case studies meet this requirement.",Yes,"The paper specifically focuses on partially protected coral reef fishery systems and their impact on fisheries, indicating a clear focus on fisheries management."," Yes; The paper title and abstract specifically mention ""coral reef fisheries"" and ""fisheries production"", indicating a focus on fisheries management.

ReflectionThe paper title and abstract mention ""partial protection"" as a management tool, which could potentially refer to broader marine resource management. However, the abstract also states that the paper examines ""partially protected coral reef fishery systems"" and their impact on fisheries productivity, catchability, and vulnerability.",Maybe,Additional information is needed to determine whether the study meets the criteria for community-based management as defined in the SC.," Maybe; The abstract mentions ""data from community-based management arrangements in three Pacific Island countries"" but does not clarify if it meets the definition of community-based management provided in the SC. 

ReflectionThe abstract mentions ""community-based management arrangements"" but does not provide a clear definition of what this means in relation to the SC. It is possible that the community-based management in the study meets the definition provided in the SC, but further information is needed to make a definitive determination.",Maybe,"Although the paper does not mention CBFM, it may still contain information on barriers to CBFM that are relevant to the screening criteria."," No; The title and abstract do not mention CBFM or any related terms.
ReflectionThe title and abstract focus on partially protected coral reef fisheries, which is not directly related to CBFM. However, it is possible that the paper may still provide information on barriers to CBFM, since the management of partially protected fisheries may involve similar challenges.",
53,A theory of scaling for community-based fisheries management,"Community-based approaches to fisheries management has emerged as a mainstream strategy to govern dispersed, diverse and dynamic small scale fisheries. However, amplifying local community led sustainability outcomes remains an enduring challenge. We seek to fill a theoretical gap in the conceptualization of ‘scaling up community-based fisheries management’. We draw on literature of agriculture innovations to provide a framework that takes into account process-driven and structural change occurring across multiple levels of governance, as well as different phases of scaling. We hypothesize that successful scaling requires engagement with all aspects of a governing regime, coalescing a range of actors, and therefore, is an enterprise that is larger than its parts. To demonstrate where the framework offers value, we illustrate the development of community-based fisheries management in Vanuatu according to the framework’s main scaling dimensions. © 2021, The Author(s).",No,No,The abstract does not include any case studies of CBFM in Pacific Island countries.," No; The abstract discusses a theoretical gap in scaling community-based fisheries management but does not mention any case studies in Pacific Island countries.

ReflectionThe SC requires the study to include at least one case study in a Pacific Island country, but the abstract focuses on a theoretical framework for scaling up community-based fisheries management. It does not appear to meet the SC.",Maybe,"The paper appears to have a focus on fisheries management, but it is unclear whether it will also include broader marine resource management."," Maybe; The abstract mentions community-based fisheries management and its challenges, but it is unclear whether the paper will focus solely on fisheries or also include broader marine resource management.

ReflectionThe abstract mentions a theoretical framework for scaling up community-based fisheries management, which suggests a focus on fisheries. However, the abstract also references literature on agriculture innovations, which could indicate a broader perspective on natural resource management.",Maybe,"The abstract suggests a community-led approach to fisheries management, but it is unclear whether it meets the given definition of CBM."," Maybe; The abstract mentions ""community-based approaches"" but does not explicitly state whether it meets the given definition of CBM.
ReflectionThe abstract does not use the term CBM/CBFM, but it does mention ""local community led sustainability outcomes"" which suggests a community-led approach to fisheries management. However, it is unclear whether the approach involves primary responsibility given to coastal communities and fishers.",Maybe,"While the paper does not directly focus on CBFM or its benefits/barriers, it may still contain information on barriers to scaling community-based fisheries management, which could be relevant to the screening criteria."," No; The paper does not focus on CBFM or its benefits/barriers.
ReflectionThe paper does not directly focus on CBFM or its benefits/barriers, but rather on scaling community-based fisheries management.",
54,Assessment of governance of fisher communities of inland openwater fisheries in Bangladesh,"The Community Based Fisheries Management (CBFM) with partnership arrangement of government, non-government organisations, fisher communities and other stakeholders has introduced community management of inland openwater fisheries in Bangladesh. This arrangement introduced CBFM approaches named fisher-led, community-led and women-led approach. One of the principles behind community based managed fisheries is to improve democratisation process of changing governance of fisheries aiming to manage their resources efficiently. The CBFM approach has made a significant contribution towards improvement of governance and democracy to fisher communities. Besides, a wider range of local institutional arrangements as community based organizations (CBOs) have been established through participatory process with legal entity. Now, there is practice of governance and democracy within CBOs and fisher communities. They are more efficient in participation of fisheries management. This paper presents and assesses the governance status of the fisher communities in inland openwater fisheries under co-management arrangement in Bangladesh. In summary, it might recommend at policy level to scale up community based fisheries approach to promote governance for better management with a long term commitment. © 2013 Elsevier Ltd.",No,No,The study does not meet the screening criteria because it does not include a case study in a Pacific Island country.," No; The abstract discusses CBFM in Bangladesh, which is not a Pacific Island country.

ReflectionThe SC specifies that the study must include a case study in a Pacific Island country, which is not mentioned in the title or abstract.",Yes,"While the paper includes a focus on fisheries management, it may also touch on broader marine resource management. However, this broader focus is still related to fisheries management."," Maybe; The abstract mentions inland openwater fisheries in Bangladesh, which implies a focus on fisheries management. However, it does not explicitly state that the paper only includes fisheries related examples.

ReflectionThe title and abstract mention the assessment of governance of fisher communities in inland openwater fisheries in Bangladesh. While the focus is on fisheries management, the paper may also touch on broader marine resource management.",Yes,"The study focuses on Community Based Fisheries Management (CBFM) approaches and local institutional arrangements, which suggest a community-led approach to fisheries management."," Maybe; The abstract mentions Community Based Fisheries Management (CBFM) but also mentions a partnership with government and non-government organizations which could suggest co-management.
ReflectionThe abstract mentions CBFM approaches and local institutional arrangements established through participatory processes with legal entities. While it does mention a partnership with government and non-government organizations, it does not specify an equal power dynamic between the government and community. Therefore, it is likely that the study focuses on community-based management.",Maybe,"The paper may discuss the benefits of CBFM, but it is not clear from the abstract whether it will do so."," Maybe; The abstract mentions the introduction of CBFM approaches, but it is unclear if the paper will discuss the benefits or barriers of CBFM.
ReflectionThe abstract mentions that the CBFM approach has made a significant contribution towards improvement of governance and democracy to fisher communities. This could be interpreted as a benefit of CBFM. However, the abstract does not explicitly state that it will discuss benefits or barriers of CBFM.",
55,"Tonle Sap Lake, Cambodia: A perspective on its transborder hydrological and resources governance","Tonle Sap Lake is the largest freshwater lake in South East Asia, being situated at the heart of the Mekong River Basin. Governance of the lake over the recent past has been weak and overly complex, and the basin governance structure has changed over time in terms of its fisheries management framework. The governance framework initially focused on the commercial exploitation of fish resources, but has more recently switched to a community-based fisheries management, biodiversity conservation and open access model. This study discusses how the water flows occurring between the Mekong River and Tonle Sap Lake complicate the governance of the lake, and particularly its fisheries, biodiversity, land and water management activities. The establishment of the Tonle Sap Authority (TSA) in 2007 sought to address the governance challenges facing the lake. The current study concludes, however, that the TSA alone is not sufficient and that global, regional and national stakeholders must make an effort to ensure the water flows between the lake and the Mekong River are themselves considered a core governance issue for the Tonle Sap. © 2015 Wiley Publishing Asia Pty Ltd.",No,No,The study does not include a case study of CBFM in a Pacific Island country.," No; The study discusses governance of Tonle Sap Lake in Cambodia, which is not a Pacific Island country. 

ReflectionThe SC requires the inclusion of a case study on CBFM in a Pacific Island country. The abstract discusses the governance of Tonle Sap Lake in Cambodia, which is not a Pacific Island country.",Yes,"The abstract mentions fisheries management and how it has changed over time, so it meets the screening criteria."," Maybe; The abstract mentions fisheries management but the focus appears to be on broader resource governance. 
ReflectionThe SC states that broader marine resource management may be included if it still includes a focus on fisheries management. The abstract does mention fisheries management, but it is not clear if it is the main focus.",Maybe,"The abstract mentions a shift to community-based fisheries management, but the mention of biodiversity conservation suggests that this may be a co-management approach rather than solely community-based management."," Maybe; The abstract mentions a shift to community-based fisheries management, but it also mentions commercial exploitation and biodiversity conservation.
ReflectionThe abstract mentions a shift from commercial exploitation to community-based fisheries management, which could be considered community-based management. However, the mention of biodiversity conservation suggests that this may be a co-management approach rather than solely community-based management.",No,The paper does not meet the screening criteria as it does not contain any information related to CBFM.," No; The paper does not mention CBFM or any related terms.
ReflectionThe paper does not meet the screening criteria as it does not contain any information related to CBFM.",
56,The difference that class makes: Neoliberalization and non-capitalism in the fishing industry of new england,"Fishing economies are typically represented as pre-capitalist and as a barrier to capital accumulation rather than as an alternative economy with its own potentials. Privatization (and capitalism) appears logical and inevitable because ""there is no alternative"" described or given. The class analysis presented here focuses on questions of property and subjectivity and describes fishing as a non-capitalist and community-based economy consonant with both a tradition of common property and an image of ""fishermen"" as independent and interested in fairness and equity. While the latter is associated with a neoliberal subject aligned with the capitalist economy, a class analysis of fishing repositions ""fishermen"" as community subjects aligned with a community economy. © 2007 The Author Journal compilation © 2007 Editorial Board of Antipode.",No,No,The title and abstract do not meet the SC as there is no mention of CBFM or a Pacific Island country.," No; There is no mention of CBFM or a Pacific Island country in the title or abstract.
ReflectionThe SC requires the study to include at least one case study of CBFM in a Pacific Island country, which means there should be a specific focus on the management of coastal and marine resources in the Pacific Island context.",Maybe,"While the abstract does not provide any direct examples of fisheries management, it does discuss the fishing industry's community-based economy, which could be relevant to fisheries management. Further reading of the paper would be required to make a definitive determination."," No; The abstract appears to focus on the fishing industry as an alternative economy rather than its management.
ReflectionThe abstract does mention the fishing industry, but it does not seem to provide any specific examples related to fisheries management. However, it does discuss the subjectivity of fishermen and their alignment with a community-based economy, which could potentially be relevant to fisheries management.",No,The abstract does not provide clear evidence that the study is related to community-based management.," Maybe; The abstract does not directly mention community-based management or its definition. 
ReflectionThe abstract does not provide any clear indication that the study is related to community-based management. However, the abstract does discuss fishing as a non-capitalist and community-based economy, which aligns with the principles of community-based management. It is possible that the study may relate to community-based management, but there is not enough information to confirm this.",No,The paper does not meet the screening criteria as there is no mention of CBFM in the title or abstract.," No; The title and abstract do not seem to be related to the benefits or barriers to CBFM.
ReflectionThe title and abstract appear to be discussing a specific analysis of the fishing industry in New England. There is no mention of CBFM, and therefore it is unlikely that the paper meets the screening criteria.",
57,CROI 2016: Hot spots in HIV infection and advances in HIV prevention,"The 2016 Conference on Retroviruses and Opportunistic Infections (CROI) highlighted hot spots in HIV infection. Men who have sex with men (MSM), transgender populations, people who inject drugs, fisherfolk, migrants, adolescents, and older adults are heavily impacted in a number of regions. Stigma contributes to risk behaviors and HIV acquisition across populations. HIV testing is a crucial first step in the HIV care continuum, and several large community-based surveys are underway in Africa to increase HIV testing, linkage to care, and uptake of antiretroviral treatment. Advances in preexposure prophylaxis (PrEP) featured prominently at CROI 2016. Two large efficacy trials of a vaginal ring containing the investigational drug dapivirine demonstrated efficacy and safety in preventing HIV infections in women in Africa. Data on the safety of long-acting injectable PrEP and several investigational PrEP drugs and formulations were also presented. Knowledge and use of PrEP among MSM in the United States appears to be increasing, and high uptake was seen among black MSM when provided as part of a culturally tailored support program. The use of broadly neutralizing antibodies for HIV prevention is a novel and promising approach to be evaluated in efficacy trials. © 2016, IAS–USA. All rights reserved.",No,No,The paper does not meet the SC as it does not include any case study of CBFM in a Pacific Island country.," No; The paper does not mention or discuss CBFM or any Pacific Island country.
ReflectionThe paper focuses on HIV infection and prevention, and does not relate to the given SC.",No,"While the abstract mentions fisherfolk, there is no discussion or focus on fisheries management or how it relates to the topic of HIV prevention."," No; The abstract mentions fisherfolk, but it does not provide any specific examples of fisheries management.
ReflectionThe abstract mentions fisherfolk, but does not provide any information on the management of fisheries or how it relates to the topic of HIV prevention.",No,The abstract does not meet the screening criteria as it does not discuss community-based management in fisheries or coastal resource management.," No; The abstract does not mention anything about community-based management in fisheries or coastal resource management.
ReflectionThe SC specifically refers to community-based management in fisheries and coastal resource management, which is not mentioned in the abstract.",Maybe,"While the abstract does not mention CBFM, the focus on HIV prevention could potentially include information on barriers to CBFM. Further information would be needed to make a final determination."," Maybe; The abstract does not explicitly mention CBFM but it does mention HIV prevention, which could potentially include information on barriers to CBFM.
ReflectionThe abstract does not directly address CBFM, but it is possible that the paper could contain information on barriers to CBFM through its focus on HIV prevention.",
58,Community involvement in fisheries management: Experiences in the Gulf of Thailand countries,"This paper examines the involvement of coastal communities in fisheries management among the countries of the Gulf of Thailand-Malaysia, Vietnam, Cambodia and Thailand. Initiatives to decentralize management to local governing bodies, to utilize traditional management methods and to engage in community agreements to protect local resources are explored. An examination of recent experiences indicates some movement toward more local involvement in management. However, the study also leads to several suggestions for the future: in Vietnam and Cambodia, there is a need for significant legislation to control fisheries operations and greater clarity of the role of communities in management; in Malaysia, there is an overall need for more support to local fisheries management; and in Thailand, the need is for greater support of local-level enforcement and monitoring activities. © 2009 Elsevier Ltd. All rights reserved.",No,No,The paper does not meet the screening criteria as it does not include a case study of CBFM in a Pacific Island country.," No; The abstract mentions the Gulf of Thailand countries, not Pacific Island countries.
ReflectionThe SC requires a case study of CBFM in a Pacific Island country, but the title and abstract mention Gulf of Thailand countries. This paper may not meet the screening criteria.",Maybe,"The paper meets the SC as it discusses fisheries management in the Gulf of Thailand, but also includes broader marine resource management topics such as traditional management methods and community agreements."," Maybe; The abstract mentions fisheries management but also refers to broader marine resource management.

ReflectionThe abstract discusses the involvement of coastal communities in fisheries management, which meets the SC. However, it also mentions the utilization of traditional management methods and community agreements to protect local resources, which implies a broader focus on marine resource management.",Maybe,"The abstract mentions both community-based management and government-based management, so it is unclear whether the paper meets the screening criteria."," Maybe; The abstract mentions that the paper examines the involvement of coastal communities in fisheries management, however, it also mentions initiatives to decentralize management to local governing bodies which may include government-based management.
ReflectionThe definition of community-based management provided is ""an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources"". The abstract mentions that the paper explores traditional management methods and community agreements to protect local resources, which aligns with community-based management. However, the mention of decentralization to local governing bodies may or may not include government-based management.",Maybe,"While the abstract does not explicitly state whether the paper meets the screening criteria, it does mention exploring initiatives related to CBFM, which suggests that the paper may contain information on the benefits of CBFM or barriers to its implementation."," Maybe; The abstract mentions examining the involvement of coastal communities in fisheries management, but it is unclear whether the paper focuses on the benefits or barriers of community-based fisheries management (CBFM).
ReflectionThe abstract mentions exploring initiatives that involve decentralization, traditional methods, and community agreements, which are all related to CBFM. However, the abstract does not explicitly state whether the paper will focus on the benefits or barriers of CBFM.",
59,Community-based organic agriculture in the Philippines,"This paper explores institutional mechanisms that might be required to boost both organic agriculture and rural development in the Philippines. Special attention is paid to community-based organic agriculture as a pathway to rural development. The Philippines has two decades of experience of community-based natural resource management. Unlike public natural resources such as forests, watersheds or fisheries, however, the community-based organic agriculture programme is intended to deal with the private property regime. Thus, if the programme is to be successful, agrarian land reform must continue. Integrated rice- duck farming is among the suitable and viable options for organic agriculture, given that rice is a major agricultural crop and duck meat is popular in the Philippines. Area-based organic food certification systems need to be formulated and a government-farmers partnership should be forged to facilitate farmers' access to domestic and international organic food markets.",No,No,The title and abstract do not meet the SC as it does not include any case study of CBFM in a Pacific Island country.," No; The title and abstract do not mention any Pacific Island country or case study of CBFM.
ReflectionThe SC requires the study to have a case study of CBFM in a Pacific Island country. The title and abstract do not mention any Pacific Island country or CBFM case study.",No,"Since the paper does not mention fisheries or marine resource management, it does not meet the screening criteria."," No; The paper does not mention fisheries or marine resource management.
ReflectionThe paper focuses on community-based organic agriculture in the Philippines with no reference to fisheries or marine resource management.",Maybe,The abstract mentions community-based natural resource management but lacks specific details regarding its alignment with the definition of community-based management provided in the SC.," Maybe; The abstract mentions ""community-based natural resource management"" but does not explicitly state whether it fits the definition of community-based management provided in the SC.
ReflectionThe abstract mentions community-based natural resource management, which could potentially fit the definition of community-based management provided in the SC. However, it is unclear whether this type of management includes fisheries or whether the approach is truly community-led without government involvement.",No,The paper does not meet the screening criteria as it does not contain information on the benefits or barriers of CBFM.," No; The paper does not mention CBFM or its benefits or barriers.
ReflectionCBFM is not mentioned in the paper, so it does not meet the screening criteria.",
60,Empowerment and institutions: Managing fisheries in Uganda,"The perception of communities as homogeneous and concern over representation and accountability of structures are key critiques of community-based natural resource management (CBNRM). A focus on understanding institutions that mediate access to, and control over, natural resources is seen as a way forward to improving management regimes that include local people. Experience in the implementation of integrated lake management in Uganda is drawn on to understand how institutions can be challenged to improve access to fisheries for marginalized stakeholders. Processes such as empowerment and the formation of accountable and representative structures are part of the way forward. © 2006 Elsevier Ltd. All rights reserved.",No,No,The study does not meet the SC as it does not include a case study of CBFM in a Pacific Island country.," No; The title and abstract are about managing fisheries in Uganda, which is not a Pacific Island country.
ReflectionThe SC requires a specific geographic focus on Pacific Island countries, while the title and abstract are focused on a different country, Uganda.",Yes,"The paper's title and abstract focus on managing fisheries in Uganda, which meets the screening criteria for fisheries-related examples."," Yes; The title and abstract specifically mention the management of fisheries in Uganda.

ReflectionThe paper's title and abstract mention the management of fisheries in Uganda, indicating that it includes fisheries-related examples.",Maybe,"The language used in the abstract suggests that the study may be community-based management, but without explicit mention of CBM/CBFM or equal power between government and community to manage, it is unclear whether the study meets the screening criteria."," Maybe; The abstract does not explicitly mention whether the study is community-based management or co-management.
ReflectionThe abstract mentions ""management regimes that include local people"" and ""empowerment and the formation of accountable and representative structures"", which suggest that the study may be community-based management. However, there is no explicit mention of CBM/CBFM or equal power between government and community to manage.",Maybe,"The abstract does not explicitly address CBFM, but it is possible that the paper contains information on either the benefits or barriers to CBFM, given its focus on the management of natural resources that involve local communities."," Maybe; The abstract mentions community-based natural resource management (CBNRM) and the improvement of management regimes that include local people, but it is unclear whether the paper specifically addresses CBFM.

ReflectionThe abstract focuses on the importance of understanding institutions that mediate access to and control over natural resources, and how they can be challenged to improve access for marginalized stakeholders. While the paper does not explicitly mention CBFM, it is possible that it may contain information on either the benefits or barriers to CBFM.",
61,"The fishery of sea-cucumber Holothuridae in Kilbat Village, Central Maluku Regency, Indonesia","Sea cumber is one of the valuable high economic resources. Worldwide, most sea cucumber fisheries are ineffectively managed, leading to declining stocks and potentially eroding the resilience of fisheries. The local fishermen of Kilbat Village have been exploiting sea cucumber for a long time with un-proper management pan. This study was aimed to investigate the utilization of sea cumber and assess its sustainability, and propose a sustainable management strategy. Field observation was used to analyze sea cucumber utilization, the Rapid appraisal to Fisheries (Rapfish) approach was used to assess its sustainability, whilst DPSIR was applied to perform a sustainable management strategy. The result shows that the local sea cucumber fishermen utilize sea cucumber as a source of income and self-consumption. The average sustainability was 61.17% of 100% sustainable scale and considered as fair sustain with institutional dimension being unsustain. There are 8 strategies proposed for sea cumber sustainable management with responses at D, P, S, and I level, A traditional indigenous knowledge (sasi) has been proposed for sea cucumber community-based fishery management. © Published under licence by IOP Publishing Ltd.",No,No,The study was not conducted in a Pacific Island country as required by the SC.," No; The study was conducted in Indonesia, which is not a Pacific Island country.
ReflectionThe SC requires a case study from a Pacific Island country, and the study in the given title and abstract was conducted in Indonesia, which is not a Pacific Island country.",Yes,The paper focuses on the fishery of sea-cucumber and also includes a broader focus on fisheries management.," Yes; The title and abstract focus on the fishery of sea-cucumber, a specific type of fishery.
ReflectionThe title and abstract are specific to the fishery of sea cucumber, which is a type of fishery. The abstract also mentions the declining stocks of sea cucumber fisheries worldwide, indicating a broader focus on fisheries management.",Maybe,"While the abstract mentions a proposed community-based fishery management approach, it is not clear whether it meets the definition of community-based management as described in the SC."," Maybe; The abstract mentions a proposed traditional indigenous knowledge (sasi) for sea cucumber community-based fishery management.
ReflectionThe abstract mentions a proposed community-based fishery management approach, but it is not clear whether it meets the definition of community-based management as described in the SC.",No,"Neither benefits nor barriers related to CBFM are addressed in the Title and Abstract, therefore the paper does not meet the Screening Criteria."," No; The Title and Abstract do not seem to meet the Screening Criteria as they do not mention CBFM or any benefits or barriers related to it.
ReflectionThe Screening Criteria require the paper to address either the benefits or the barriers to CBFM. However, the Title and Abstract are focused on investigating the utilization and sustainability of sea cucumber in a specific village in Indonesia, and do not mention CBFM.",
